MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,27,4.497596|3.000000,0.018201351165771484,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,49937788928.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,28,4.497596|3.000000,0.018840312957763672,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,82625150976.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,29,4.497596|3.000000,0.01912069320678711,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,61031415808.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,30,4.497596|3.000000,0.01907181739807129,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,99498360832.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,31,4.497596|3.000000,0.018677711486816406,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,186083008.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,32,4.497596|3.000000,0.019511938095092773,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,86276644864.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,33,4.497596|3.000000,0.019696712493896484,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,101091819520.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,34,4.497596|3.000000,0.019471168518066406,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,144194928640.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,35,4.497596|3.000000,0.019336462020874023,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,49944756224.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,36,4.497596|3.000000,0.019876956939697266,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,119044390912.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,37,4.497596|3.000000,0.020082950592041016,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,135880491008.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,38,4.497596|3.000000,0.01919865608215332,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,116591542272.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,39,4.497596|3.000000,0.018253803253173828,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,56875225088.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,40,4.497596|3.000000,0.019572973251342773,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,132351639552.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,41,4.497596|3.000000,0.01897120475769043,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,48310050816.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,42,4.497596|3.000000,0.018578529357910156,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,124070830080.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,43,4.497596|3.000000,0.01981186866760254,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,93043515392.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,44,4.497596|3.000000,0.020093679428100586,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,123465392128.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,45,4.497596|3.000000,0.019215106964111328,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,114957287424.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,46,4.497596|3.000000,0.019360780715942383,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,99122978816.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,47,4.497596|3.000000,0.019661426544189453,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,94026727424.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,48,4.497596|3.000000,0.019979476928710938,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,114531606528.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,49,4.497596|3.000000,0.019220352172851562,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,93086081024.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,50,4.497596|3.000000,0.020297765731811523,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,88160018432.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,51,4.497596|3.000000,0.018710851669311523,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,101493030912.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,52,4.497596|3.000000,0.0194399356842041,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,79811772416.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,53,4.497596|3.000000,0.020146846771240234,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,139998789632.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,54,4.497596|3.000000,0.018816471099853516,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,96323510272.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,55,4.497596|3.000000,0.019303560256958008,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,110831624192.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,56,4.497596|3.000000,0.019167661666870117,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,78079393792.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,57,4.497596|3.000000,0.019919633865356445,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,73993158656.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,58,4.497596|3.000000,0.019288301467895508,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,96371458048.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,59,4.497596|3.000000,0.019378185272216797,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,99498762240.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,60,4.497596|3.000000,0.018962860107421875,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,70779297792.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,61,4.497596|3.000000,0.019103050231933594,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,58832089088.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,62,4.497596|3.000000,0.019331932067871094,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,86278209536.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,63,4.497596|3.000000,0.0193941593170166,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,49938456576.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,64,4.497596|3.000000,0.019439220428466797,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,85364383744.000000,N/A,1,5
