=== Stats: Cooling (3_Objs) ===
Scenario  NSGA-II_Pure  NT_1st_Obj_Elitism  NT_NSGA-II
count        17.000000           17.000000   17.000000
mean          4.441860            4.535195    4.578924
std           0.374564            0.212201    0.253061
min           3.737217            4.030739    3.936680
25%           4.150217            4.424264    4.504544
50%           4.504544            4.516559    4.618275
75%           4.636782            4.636782    4.711385
max           5.110411            4.943788    4.943788

Friedman Test:
Statistic: 4.5000, p-value: 0.105399
