MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,17,3.880493|7.000000|3.000000,0.027820587158203125,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,99498319872.000000,N/A,3,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,18,3.880493|7.000000|3.000000,0.027423620223999023,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,79973031936.000000,N/A,3,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,19,3.880493|7.000000|3.000000,0.02579045295715332,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,99498328064.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,20,3.880493|7.000000|3.000000,0.026417255401611328,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,70157164544.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,21,3.880493|7.000000|3.000000,0.027363061904907227,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,94243823616.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,22,3.880493|7.000000|3.000000,0.02713942527770996,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,89902809088.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,23,3.880493|7.000000|3.000000,0.02650761604309082,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,93190496256.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,24,3.880493|7.000000|3.000000,0.02789759635925293,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,94580842496.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,25,3.880493|7.000000|3.000000,0.026037216186523438,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,92427329536.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,26,3.880493|7.000000|3.000000,0.026761293411254883,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,107181015040.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,27,3.880493|7.000000|3.000000,0.026936769485473633,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,55584161792.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,28,3.880493|7.000000|3.000000,0.026033401489257812,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,70533685248.000000,N/A,2,5
