MOGP_GENERATIONAL,126d38d0-e6fd-11f0-9434-6e001b3eef54,Boston,74,0,19.346584|3.000000|0.000000,0.9280490875244141,3.0,20.800043|3.000000|0.000000,20.800043|3.000000|0.000000,3,242793021440.000000,9.693277|3.000000|0.000000,5
MOGP_GENERATIONAL,126d38d0-e6fd-11f0-9434-6e001b3eef54,Boston,74,1,9.221503|3.000000|0.000000,0.023245811462402344,3.0,10.161056|3.000000|0.000000,10.161056|3.000000|0.000000,3,119003766784.000000,9.693277|3.000000|0.000000,5
MOGP_GENERATIONAL,126d38d0-e6fd-11f0-9434-6e001b3eef54,Boston,74,2,9.221503|3.000000|0.000000,0.022983789443969727,3.0,10.161056|3.000000|0.000000,10.161056|3.000000|0.000000,3,70925312000.000000,9.693277|3.000000|0.000000,5
MOGP_GENERATIONAL,126d38d0-e6fd-11f0-9434-6e001b3eef54,Boston,74,3,9.221503|3.000000|0.000000,0.022357940673828125,3.0,10.161056|3.000000|0.000000,10.161056|3.000000|0.000000,3,70284197888.000000,9.693277|3.000000|0.000000,5
MOGP_GENERATIONAL,126d38d0-e6fd-11f0-9434-6e001b3eef54,Boston,74,4,8.972115|3.000000|0.000000,0.022489070892333984,3.0,10.035775|3.000000|0.000000,10.035775|3.000000|0.000000,3,76732907520.000000,9.693277|3.000000|0.000000,5
MOGP_GENERATIONAL,126d38d0-e6fd-11f0-9434-6e001b3eef54,Boston,74,5,8.972115|3.000000|0.000000,0.020047903060913086,3.0,10.035775|3.000000|0.000000,10.035775|3.000000|0.000000,3,58017931264.000000,9.693277|3.000000|0.000000,5
MOGP_GENERATIONAL,126d38d0-e6fd-11f0-9434-6e001b3eef54,Boston,74,6,8.881834|3.000000|0.000000,0.020467042922973633,3.0,10.253097|3.000000|0.000000,9.212408|7.000000|1.000000,7,56710828032.000000,9.693277|3.000000|0.000000,5
MOGP_GENERATIONAL,126d38d0-e6fd-11f0-9434-6e001b3eef54,Boston,74,7,8.881834|3.000000|0.000000,0.021516799926757812,3.0,10.253097|3.000000|0.000000,9.906795|7.000000|2.000000,7,60030906368.000000,9.693277|3.000000|0.000000,5
MOGP_GENERATIONAL,126d38d0-e6fd-11f0-9434-6e001b3eef54,Boston,74,8,8.881834|3.000000|0.000000,0.021409034729003906,3.0,10.253097|3.000000|0.000000,10.253097|3.000000|0.000000,3,53059362816.000000,9.693277|3.000000|0.000000,5
MOGP_GENERATIONAL,126d38d0-e6fd-11f0-9434-6e001b3eef54,Boston,74,9,8.881834|3.000000|0.000000,0.020263195037841797,3.0,10.253097|3.000000|0.000000,10.253097|3.000000|0.000000,3,75722219520.000000,9.693277|3.000000|0.000000,5
MOGP_GENERATIONAL,126d38d0-e6fd-11f0-9434-6e001b3eef54,Boston,74,10,8.881834|3.000000|0.000000,0.02079319953918457,3.0,10.253097|3.000000|0.000000,10.256969|7.000000|1.000000,7,44309889024.000000,9.693277|3.000000|0.000000,5
MOGP_GENERATIONAL,126d38d0-e6fd-11f0-9434-6e001b3eef54,Boston,74,11,8.881834|3.000000|0.000000,0.020369768142700195,3.0,10.253097|3.000000|0.000000,8.822909|7.000000|1.000000,7,61878480896.000000,9.693277|3.000000|0.000000,5
MOGP_GENERATIONAL,126d38d0-e6fd-11f0-9434-6e001b3eef54,Boston,74,12,8.881834|3.000000|0.000000,0.02083301544189453,3.0,10.253097|3.000000|0.000000,10.253097|3.000000|0.000000,3,55174438912.000000,9.693277|3.000000|0.000000,5
MOGP_GENERATIONAL,126d38d0-e6fd-11f0-9434-6e001b3eef54,Boston,74,13,8.881834|3.000000|0.000000,0.020817995071411133,3.0,10.253097|3.000000|0.000000,10.253097|3.000000|0.000000,3,62386913280.000000,9.693277|3.000000|0.000000,5
MOGP_GENERATIONAL,126d38d0-e6fd-11f0-9434-6e001b3eef54,Boston,74,14,8.881834|3.000000|0.000000,0.02148294448852539,3.0,10.253097|3.000000|0.000000,10.253097|3.000000|0.000000,3,94815281152.000000,9.693277|3.000000|0.000000,5
MOGP_GENERATIONAL,126d38d0-e6fd-11f0-9434-6e001b3eef54,Boston,74,15,8.881834|3.000000|0.000000,0.020734071731567383,3.0,10.253097|3.000000|0.000000,10.253097|3.000000|0.000000,3,47500648448.000000,9.693277|3.000000|0.000000,5
MOGP_GENERATIONAL,126d38d0-e6fd-11f0-9434-6e001b3eef54,Boston,74,16,8.881834|3.000000|0.000000,0.020496129989624023,3.0,10.253097|3.000000|0.000000,9.212408|7.000000|1.000000,7,29762402304.000000,9.693277|3.000000|0.000000,5
MOGP_GENERATIONAL,126d38d0-e6fd-11f0-9434-6e001b3eef54,Boston,74,17,8.881834|3.000000|0.000000,0.021026611328125,3.0,10.253097|3.000000|0.000000,10.253097|3.000000|0.000000,3,107466121216.000000,9.693277|3.000000|0.000000,5
MOGP_GENERATIONAL,126d38d0-e6fd-11f0-9434-6e001b3eef54,Boston,74,18,8.881834|3.000000|0.000000,0.020714998245239258,3.0,10.253097|3.000000|0.000000,10.253097|3.000000|0.000000,3,60208730112.000000,9.693277|3.000000|0.000000,5
MOGP_GENERATIONAL,126d38d0-e6fd-11f0-9434-6e001b3eef54,Boston,74,19,8.881834|3.000000|0.000000,0.020389795303344727,3.0,10.253097|3.000000|0.000000,10.253097|3.000000|0.000000,3,1321771.125000,9.693277|3.000000|0.000000,5
MOGP_GENERATIONAL,126d38d0-e6fd-11f0-9434-6e001b3eef54,Boston,74,20,8.881834|3.000000|0.000000,0.020316123962402344,3.0,10.253097|3.000000|0.000000,10.253097|3.000000|0.000000,3,77105389568.000000,9.693277|3.000000|0.000000,5
MOGP_GENERATIONAL,126d38d0-e6fd-11f0-9434-6e001b3eef54,Boston,74,21,8.881834|3.000000|0.000000,0.021252870559692383,3.0,10.253097|3.000000|0.000000,9.906795|7.000000|2.000000,7,86236553216.000000,9.693277|3.000000|0.000000,5
