MOGP_GENERATIONAL,efa0f0b0-1570-11f1-9378-303ea725c124,Boston,74,0,9.151953|5.000000|2.000000,0.031105995178222656,5.0,12.159174|5.000000|2.000000,9.151953|5.000000|2.000000,12.159174|5.000000|2.000000,5,243780485120.000000,N/A,3,5
MOGP_GENERATIONAL,efa0f0b0-1570-11f1-9378-303ea725c124,Boston,74,1,9.151953|5.000000|2.000000,0.02860403060913086,5.0,12.159174|5.000000|2.000000,9.151953|5.000000|2.000000,12.159174|5.000000|2.000000,5,120177901568.000000,N/A,3,5
MOGP_GENERATIONAL,efa0f0b0-1570-11f1-9378-303ea725c124,Boston,74,2,8.528420|5.000000|1.000000,0.027926206588745117,5.0,9.048639|5.000000|1.000000,8.528420|5.000000|1.000000,9.048639|5.000000|1.000000,5,54006415360.000000,N/A,2,5
MOGP_GENERATIONAL,efa0f0b0-1570-11f1-9378-303ea725c124,Boston,74,3,8.528420|5.000000|1.000000,0.028677701950073242,5.0,9.048639|5.000000|1.000000,8.528420|5.000000|1.000000,9.048639|5.000000|1.000000,5,76532875264.000000,N/A,2,5
MOGP_GENERATIONAL,efa0f0b0-1570-11f1-9378-303ea725c124,Boston,74,4,8.528420|5.000000|1.000000,0.028446674346923828,5.0,9.048639|5.000000|1.000000,8.528420|5.000000|1.000000,9.048639|5.000000|1.000000,5,24996276224.000000,N/A,2,5
MOGP_GENERATIONAL,efa0f0b0-1570-11f1-9378-303ea725c124,Boston,74,5,8.528420|5.000000|1.000000,0.026240825653076172,5.0,9.048639|5.000000|1.000000,8.528420|5.000000|1.000000,9.048639|5.000000|1.000000,5,46157053952.000000,N/A,2,5
MOGP_GENERATIONAL,efa0f0b0-1570-11f1-9378-303ea725c124,Boston,74,6,8.528420|5.000000|1.000000,0.026125192642211914,5.0,9.048639|5.000000|1.000000,8.528420|5.000000|1.000000,9.048639|5.000000|1.000000,5,61303853056.000000,N/A,2,5
MOGP_GENERATIONAL,efa0f0b0-1570-11f1-9378-303ea725c124,Boston,74,7,8.528420|5.000000|1.000000,0.02726125717163086,5.0,9.048639|5.000000|1.000000,8.528420|5.000000|1.000000,9.048639|5.000000|1.000000,5,39316582400.000000,N/A,2,5
MOGP_GENERATIONAL,efa0f0b0-1570-11f1-9378-303ea725c124,Boston,74,8,8.528420|5.000000|1.000000,0.026337862014770508,5.0,9.048639|5.000000|1.000000,8.528420|5.000000|1.000000,9.048639|5.000000|1.000000,5,74691428352.000000,N/A,2,5
MOGP_GENERATIONAL,efa0f0b0-1570-11f1-9378-303ea725c124,Boston,74,9,8.528420|5.000000|1.000000,0.026278257369995117,5.0,9.048639|5.000000|1.000000,8.528420|5.000000|1.000000,9.048639|5.000000|1.000000,5,60405186560.000000,N/A,2,5
MOGP_GENERATIONAL,efa0f0b0-1570-11f1-9378-303ea725c124,Boston,74,10,8.528420|5.000000|1.000000,0.026122093200683594,5.0,9.048639|5.000000|1.000000,8.528420|5.000000|1.000000,9.048639|5.000000|1.000000,5,76415746048.000000,N/A,2,5
MOGP_GENERATIONAL,efa0f0b0-1570-11f1-9378-303ea725c124,Boston,74,11,8.113663|7.000000|1.000000,0.026111602783203125,7.0,7.558079|7.000000|1.000000,8.113663|7.000000|1.000000,7.558079|7.000000|1.000000,7,71361495040.000000,N/A,2,5
MOGP_GENERATIONAL,efa0f0b0-1570-11f1-9378-303ea725c124,Boston,74,12,8.113663|7.000000|1.000000,0.026418209075927734,7.0,7.558079|7.000000|1.000000,8.113663|7.000000|1.000000,7.558079|7.000000|1.000000,7,49937465344.000000,N/A,2,5
MOGP_GENERATIONAL,efa0f0b0-1570-11f1-9378-303ea725c124,Boston,74,13,8.113663|7.000000|1.000000,0.02635931968688965,7.0,7.558079|7.000000|1.000000,8.113663|7.000000|1.000000,7.558079|7.000000|1.000000,7,68576591872.000000,N/A,2,5
MOGP_GENERATIONAL,efa0f0b0-1570-11f1-9378-303ea725c124,Boston,74,14,8.113663|7.000000|1.000000,0.026707887649536133,7.0,7.558079|7.000000|1.000000,8.113663|7.000000|1.000000,7.558079|7.000000|1.000000,7,104411136000.000000,N/A,2,5
