MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,11,4.559990|3.000000|1.000000,0.026726484298706055,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,81748000768.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,12,4.559990|3.000000|1.000000,0.026549577713012695,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,61371752448.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,13,4.559990|3.000000|1.000000,0.02733159065246582,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,126454767616.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,14,4.559990|3.000000|1.000000,0.026694536209106445,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,49937780736.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,15,4.559990|3.000000|1.000000,0.026917457580566406,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,105627238400.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,16,4.559990|3.000000|1.000000,0.02597355842590332,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,49941434368.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,17,4.559990|3.000000|1.000000,0.028208017349243164,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,121549529088.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,18,4.559990|3.000000|1.000000,0.027502775192260742,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,98731499520.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,19,4.559990|3.000000|1.000000,0.026405811309814453,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,70533685248.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,20,4.559990|3.000000|1.000000,0.026574373245239258,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,70533586944.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,21,4.559990|3.000000|1.000000,0.027379274368286133,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,149265547264.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,22,4.559990|3.000000|1.000000,0.026880979537963867,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,104931213312.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,23,4.559990|3.000000|1.000000,0.027014970779418945,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,88672075776.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,24,4.559990|3.000000|1.000000,0.027320146560668945,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,98658697216.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,25,4.559990|3.000000|1.000000,0.026837825775146484,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,115789774848.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,26,4.559990|3.000000|1.000000,0.02687978744506836,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,70533685248.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,27,4.559990|3.000000|1.000000,0.027041196823120117,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,69441650688.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,28,4.559990|3.000000|1.000000,0.026028871536254883,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,108402565120.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,29,4.559990|3.000000|1.000000,0.027839183807373047,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,130977284096.000000,N/A,2,5
