MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,11,4.577525|3.000000,0.019394636154174805,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,71033085952.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,12,4.577525|3.000000,0.019418954849243164,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,86276841472.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,13,4.577525|3.000000,0.02002429962158203,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,102197460992.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,14,4.577525|3.000000,0.019634246826171875,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,87897448448.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,15,4.577525|3.000000,0.018904924392700195,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,77820592128.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,16,4.577525|3.000000,0.018985748291015625,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,49950560256.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,17,4.577525|3.000000,0.019492626190185547,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,90494205952.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,18,4.577525|3.000000,0.019262313842773438,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,49937473536.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,19,4.577525|3.000000,0.019080162048339844,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,70533627904.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,20,4.577525|3.000000,0.019048690795898438,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,70533685248.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,21,4.577525|3.000000,0.020034074783325195,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,56675323904.000000,N/A,1,5
