MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,0,9.796895|3.000000,0.8379456996917725,3.0,10.772421|3.000000,10.772421|3.000000,3,243780485120.000000,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,1,9.796895|3.000000,3.4421498775482178,3.0,10.772421|3.000000,12.159174|5.000000,5,3.065373,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,2,9.796895|3.000000,3.2730202674865723,3.0,10.772421|3.000000,12.159174|5.000000,5,3.073025,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,3,9.711526|3.000000,3.2956690788269043,3.0,10.822612|3.000000,12.159174|5.000000,5,2.521763,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,4,9.711526|3.000000,3.317329168319702,3.0,10.822612|3.000000,12.159174|5.000000,5,1.895520,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,5,9.711526|3.000000,3.3619730472564697,3.0,10.822612|3.000000,12.159174|5.000000,5,0.801331,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,6,9.711526|3.000000,3.3512399196624756,3.0,10.822612|3.000000,12.159174|5.000000,5,0.418916,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,7,9.711526|3.000000,3.403373956680298,3.0,10.822612|3.000000,12.159174|5.000000,5,0.306182,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,8,9.711526|3.000000,3.526219606399536,3.0,10.822612|3.000000,12.159174|5.000000,5,0.209207,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,9,9.711526|3.000000,3.805957317352295,3.0,10.822612|3.000000,12.159174|5.000000,5,0.099539,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,10,9.711526|3.000000,4.611356973648071,3.0,10.822612|3.000000,12.159174|5.000000,5,0.038969,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,11,9.711526|3.000000,5.1361589431762695,3.0,10.822612|3.000000,12.159174|5.000000,5,0.038969,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,12,9.711526|3.000000,5.047883033752441,3.0,10.822612|3.000000,12.159174|5.000000,5,0.038969,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,13,9.711526|3.000000,5.275573968887329,3.0,10.822612|3.000000,12.159174|5.000000,5,0.039387,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,14,9.711526|3.000000,5.059675931930542,3.0,10.822612|3.000000,12.159174|5.000000,5,0.039387,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,15,9.711526|3.000000,5.379993200302124,3.0,10.822612|3.000000,12.159174|5.000000,5,0.039387,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,16,9.711526|3.000000,5.350501775741577,3.0,10.822612|3.000000,12.159174|5.000000,5,0.039797,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,17,9.711526|3.000000,5.0604119300842285,3.0,10.822612|3.000000,12.159174|5.000000,5,0.047247,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,18,9.711526|3.000000,5.128986835479736,3.0,10.822612|3.000000,12.159174|5.000000,5,0.047247,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,19,9.711526|3.000000,5.215128660202026,3.0,10.822612|3.000000,12.159174|5.000000,5,0.047247,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,20,9.711526|3.000000,5.103989124298096,3.0,10.822612|3.000000,12.159174|5.000000,5,0.047247,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,21,9.711526|3.000000,5.115325927734375,3.0,10.822612|3.000000,12.159174|5.000000,5,0.047247,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,22,9.711526|3.000000,4.999785900115967,3.0,10.822612|3.000000,12.159174|5.000000,5,0.047247,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,23,9.711526|3.000000,5.2347190380096436,3.0,10.822612|3.000000,12.159174|5.000000,5,0.047247,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,24,9.711526|3.000000,5.119874000549316,3.0,10.822612|3.000000,12.159174|5.000000,5,0.047247,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,25,9.711526|3.000000,4.991236686706543,3.0,10.822612|3.000000,12.159174|5.000000,5,0.047247,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,26,9.711526|3.000000,5.054934024810791,3.0,10.822612|3.000000,12.159174|5.000000,5,0.047574,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,27,9.711526|3.000000,5.212867975234985,3.0,10.822612|3.000000,12.159174|5.000000,5,0.048209,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,28,9.711526|3.000000,5.038027048110962,3.0,10.822612|3.000000,12.159174|5.000000,5,0.048518,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,29,9.711526|3.000000,4.758108139038086,3.0,10.822612|3.000000,12.159174|5.000000,5,0.048518,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,30,9.711526|3.000000,5.016885995864868,3.0,10.822612|3.000000,12.159174|5.000000,5,0.049118,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,31,9.711526|3.000000,5.004509210586548,3.0,10.822612|3.000000,12.159174|5.000000,5,0.049118,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,32,9.711526|3.000000,4.978700876235962,3.0,10.822612|3.000000,12.159174|5.000000,5,0.049118,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,33,9.711526|3.000000,4.86590313911438,3.0,10.822612|3.000000,12.159174|5.000000,5,0.049118,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,34,9.711526|3.000000,4.894494295120239,3.0,10.822612|3.000000,12.159174|5.000000,5,0.049118,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,35,9.711526|3.000000,4.926070928573608,3.0,10.822612|3.000000,12.159174|5.000000,5,0.049410,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,36,9.711526|3.000000,4.901344060897827,3.0,10.822612|3.000000,12.159174|5.000000,5,0.049697,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,37,9.711526|3.000000,4.783697843551636,3.0,10.822612|3.000000,12.159174|5.000000,5,0.049978,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,38,9.711526|3.000000,4.603164911270142,3.0,10.822612|3.000000,12.159174|5.000000,5,0.050255,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,39,9.711526|3.000000,4.63935112953186,3.0,10.822612|3.000000,12.159174|5.000000,5,0.050255,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,40,9.711526|3.000000,4.7247209548950195,3.0,10.822612|3.000000,12.159174|5.000000,5,0.052049,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,41,9.711526|3.000000,4.59221076965332,3.0,10.822612|3.000000,12.159174|5.000000,5,0.052519,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,42,9.711526|3.000000,4.413042068481445,3.0,10.822612|3.000000,12.159174|5.000000,5,0.053406,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,43,9.711526|3.000000,4.487032651901245,3.0,10.822612|3.000000,12.159174|5.000000,5,0.054419,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,44,9.711526|3.000000,4.283159017562866,3.0,10.822612|3.000000,12.159174|5.000000,5,0.055833,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,45,9.711526|3.000000,4.199941873550415,3.0,10.822612|3.000000,12.159174|5.000000,5,0.057509,N/A,5
