MOGP_GENERATIONAL,4c540290-14cf-11f1-9378-303ea725c124,Toxicity,74,0,2332.746582|15.000000,0.07539606094360352,15.0,1731.054932|15.000000,2332.746582|15.000000,1731.054932|15.000000,15,159356289024.000000,N/A,2,5
MOGP_GENERATIONAL,4c540290-14cf-11f1-9378-303ea725c124,Toxicity,74,1,2332.746582|15.000000,0.02405095100402832,15.0,1731.054932|15.000000,2332.746582|15.000000,1731.054932|15.000000,15,42215346176.000000,N/A,2,5
MOGP_GENERATIONAL,4c540290-14cf-11f1-9378-303ea725c124,Toxicity,74,2,2332.746582|15.000000,0.02309250831604004,15.0,1731.054932|15.000000,2332.746582|15.000000,1731.054932|15.000000,15,49735417856.000000,N/A,2,5
MOGP_GENERATIONAL,4c540290-14cf-11f1-9378-303ea725c124,Toxicity,74,3,2332.746582|15.000000,0.023463964462280273,15.0,1731.054932|15.000000,2332.746582|15.000000,1731.054932|15.000000,15,50554101760.000000,N/A,2,5
MOGP_GENERATIONAL,4c540290-14cf-11f1-9378-303ea725c124,Toxicity,74,4,2332.746582|15.000000,0.021594524383544922,15.0,1731.054932|15.000000,2332.746582|15.000000,1731.054932|15.000000,15,82817294336.000000,N/A,2,5
MOGP_GENERATIONAL,4c540290-14cf-11f1-9378-303ea725c124,Toxicity,74,5,2307.555420|3.000000,0.021033763885498047,3.0,1923.143921|3.000000,2307.555420|3.000000,1923.143921|3.000000,3,5524622848.000000,N/A,2,5
MOGP_GENERATIONAL,4c540290-14cf-11f1-9378-303ea725c124,Toxicity,74,6,2288.471436|3.000000,0.022420167922973633,3.0,1900.994507|3.000000,2288.471436|3.000000,1900.994507|3.000000,3,59633025024.000000,N/A,2,5
MOGP_GENERATIONAL,4c540290-14cf-11f1-9378-303ea725c124,Toxicity,74,7,2288.471436|3.000000,0.02060413360595703,3.0,1900.994507|3.000000,2288.471436|3.000000,1900.994507|3.000000,3,3983476992.000000,N/A,2,5
MOGP_GENERATIONAL,4c540290-14cf-11f1-9378-303ea725c124,Toxicity,74,8,2288.471436|3.000000,0.019849777221679688,3.0,1900.994507|3.000000,2288.471436|3.000000,1900.994507|3.000000,3,49316773888.000000,N/A,1,5
MOGP_GENERATIONAL,4c540290-14cf-11f1-9378-303ea725c124,Toxicity,74,9,2288.471436|3.000000,0.022397279739379883,3.0,1900.994507|3.000000,2288.471436|3.000000,1900.994507|3.000000,3,27023.441406,N/A,1,5
MOGP_GENERATIONAL,4c540290-14cf-11f1-9378-303ea725c124,Toxicity,74,10,2288.471436|3.000000,0.02132272720336914,3.0,1900.994507|3.000000,2288.471436|3.000000,1900.994507|3.000000,3,60681035776.000000,N/A,1,5
MOGP_GENERATIONAL,4c540290-14cf-11f1-9378-303ea725c124,Toxicity,74,11,2288.471436|3.000000,0.020519018173217773,3.0,1900.994507|3.000000,2288.471436|3.000000,1900.994507|3.000000,3,330766.562500,N/A,1,5
MOGP_GENERATIONAL,4c540290-14cf-11f1-9378-303ea725c124,Toxicity,74,12,2288.471436|3.000000,0.0209197998046875,3.0,1900.994507|3.000000,2288.471436|3.000000,1900.994507|3.000000,3,62178410496.000000,N/A,1,5
MOGP_GENERATIONAL,4c540290-14cf-11f1-9378-303ea725c124,Toxicity,74,13,2288.471436|3.000000,0.022871971130371094,3.0,1900.994507|3.000000,2288.471436|3.000000,1900.994507|3.000000,3,5531556352.000000,N/A,1,5
MOGP_GENERATIONAL,4c540290-14cf-11f1-9378-303ea725c124,Toxicity,74,14,2288.471436|3.000000,0.020977020263671875,3.0,1900.994507|3.000000,2288.471436|3.000000,1900.994507|3.000000,3,48378136.000000,N/A,1,5
MOGP_GENERATIONAL,4c540290-14cf-11f1-9378-303ea725c124,Toxicity,74,15,2284.004150|5.000000,0.023470640182495117,5.0,2067.949951|5.000000,2284.004150|5.000000,2067.949951|5.000000,5,34904231936.000000,N/A,2,5
MOGP_GENERATIONAL,4c540290-14cf-11f1-9378-303ea725c124,Toxicity,74,16,2284.004150|5.000000,0.022291898727416992,5.0,2067.949951|5.000000,2284.004150|5.000000,2067.949951|5.000000,5,23603.212891,N/A,2,5
MOGP_GENERATIONAL,4c540290-14cf-11f1-9378-303ea725c124,Toxicity,74,17,2284.004150|5.000000,0.021837711334228516,5.0,2067.949951|5.000000,2284.004150|5.000000,2067.949951|5.000000,5,15224.863281,N/A,2,5
MOGP_GENERATIONAL,4c540290-14cf-11f1-9378-303ea725c124,Toxicity,74,18,2284.004150|5.000000,0.020998001098632812,5.0,2067.949951|5.000000,2284.004150|5.000000,2067.949951|5.000000,5,63821524992.000000,N/A,2,5
MOGP_GENERATIONAL,4c540290-14cf-11f1-9378-303ea725c124,Toxicity,74,19,2284.004150|5.000000,0.02260613441467285,5.0,2067.949951|5.000000,2284.004150|5.000000,2067.949951|5.000000,5,60157546496.000000,N/A,2,5
