MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,19,4.492990|3.000000,0.04995894432067871,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,97108500480.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,20,4.492990|3.000000,0.04661130905151367,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,62046355456.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,21,4.492990|3.000000,0.03919839859008789,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,119502036992.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,22,4.492990|3.000000,0.04387807846069336,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,89700802560.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,23,4.492990|3.000000,0.03918313980102539,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,98798878720.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,24,4.492990|3.000000,0.055321693420410156,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,55146311680.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,25,4.492990|3.000000,0.03940248489379883,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,113892638720.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,26,4.492990|3.000000,0.056383371353149414,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,132788330496.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,27,4.492990|3.000000,0.03929901123046875,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,34748379136.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,28,4.492990|3.000000,0.03307056427001953,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,60728401920.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,29,4.492990|3.000000,0.04525566101074219,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,96528408576.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,30,4.492990|3.000000,0.041658878326416016,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,66022043648.000000,N/A,1,5
