MOGP_GENERATIONAL,3d3fc2d6-e7d3-11f0-9434-6e001b3eef54,Boston,74,0,9.890919|3.000000,0.8284351825714111,3.0,10.570427|3.000000,10.570427|3.000000,3,243221397504.000000,N/A,5
MOGP_GENERATIONAL,3d3fc2d6-e7d3-11f0-9434-6e001b3eef54,Boston,74,1,9.890919|3.000000,0.8147428035736084,3.0,10.570427|3.000000,10.570427|3.000000,3,93014786048.000000,N/A,5
MOGP_GENERATIONAL,3d3fc2d6-e7d3-11f0-9434-6e001b3eef54,Boston,74,2,9.890919|3.000000,0.867408037185669,3.0,10.570427|3.000000,10.570427|3.000000,3,71274020864.000000,N/A,5
MOGP_GENERATIONAL,3d3fc2d6-e7d3-11f0-9434-6e001b3eef54,Boston,74,3,9.890919|3.000000,0.8594627380371094,3.0,10.570427|3.000000,10.570427|3.000000,3,121180741632.000000,N/A,5
MOGP_GENERATIONAL,3d3fc2d6-e7d3-11f0-9434-6e001b3eef54,Boston,74,4,9.890919|3.000000,0.8649051189422607,3.0,10.570427|3.000000,10.570427|3.000000,3,71877074944.000000,N/A,5
MOGP_GENERATIONAL,3d3fc2d6-e7d3-11f0-9434-6e001b3eef54,Boston,74,5,9.890919|3.000000,0.8748159408569336,3.0,10.570427|3.000000,8.325772|5.000000,5,86388555776.000000,N/A,5
MOGP_GENERATIONAL,3d3fc2d6-e7d3-11f0-9434-6e001b3eef54,Boston,74,6,9.890919|3.000000,0.8652300834655762,3.0,10.570427|3.000000,10.570427|3.000000,3,64736976896.000000,N/A,5
MOGP_GENERATIONAL,3d3fc2d6-e7d3-11f0-9434-6e001b3eef54,Boston,74,7,9.890919|3.000000,0.8596620559692383,3.0,10.570427|3.000000,9.329784|5.000000,5,68435824640.000000,N/A,5
MOGP_GENERATIONAL,3d3fc2d6-e7d3-11f0-9434-6e001b3eef54,Boston,74,8,9.890919|3.000000,0.8704431056976318,3.0,10.570427|3.000000,10.570427|3.000000,3,59923849216.000000,N/A,5
MOGP_GENERATIONAL,3d3fc2d6-e7d3-11f0-9434-6e001b3eef54,Boston,74,9,9.890919|3.000000,0.8796229362487793,3.0,10.570427|3.000000,10.570427|3.000000,3,111882018816.000000,N/A,5
MOGP_GENERATIONAL,3d3fc2d6-e7d3-11f0-9434-6e001b3eef54,Boston,74,10,9.890919|3.000000,0.8944110870361328,3.0,10.570427|3.000000,10.570427|3.000000,3,72327053312.000000,N/A,5
MOGP_GENERATIONAL,3d3fc2d6-e7d3-11f0-9434-6e001b3eef54,Boston,74,11,9.890919|3.000000,0.8815901279449463,3.0,10.570427|3.000000,10.570427|3.000000,3,107784257536.000000,N/A,5
MOGP_GENERATIONAL,3d3fc2d6-e7d3-11f0-9434-6e001b3eef54,Boston,74,12,9.890919|3.000000,0.8893470764160156,3.0,10.570427|3.000000,10.570427|3.000000,3,87682539520.000000,N/A,5
MOGP_GENERATIONAL,3d3fc2d6-e7d3-11f0-9434-6e001b3eef54,Boston,74,13,9.890919|3.000000,0.9015181064605713,3.0,10.570427|3.000000,10.570427|3.000000,3,61122961408.000000,N/A,5
