MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,26,4.365190|3.000000,0.05203700065612793,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,93357277184.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,27,4.365190|3.000000,0.04121208190917969,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,70533283840.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,28,4.365190|3.000000,0.047925710678100586,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,34947588096.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,29,4.365190|3.000000,0.04869890213012695,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,96572366848.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,30,4.365190|3.000000,0.06824851036071777,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,65811292160.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,31,4.365190|3.000000,0.04876375198364258,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,105936527360.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,32,4.365190|3.000000,0.03616809844970703,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,79799271424.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,33,4.365190|3.000000,0.04217958450317383,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,118818177024.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,34,4.365190|3.000000,0.04885506629943848,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,110982348800.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,35,4.365190|3.000000,0.06026458740234375,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,43925495808.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,36,4.365190|3.000000,0.047831058502197266,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,67463593984.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,37,4.365190|3.000000,0.05119776725769043,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,100154302464.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,38,4.365190|3.000000,0.05007743835449219,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,116589027328.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,39,4.365190|3.000000,0.03628706932067871,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,84897882112.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,40,4.365190|3.000000,0.04952716827392578,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,122848198656.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,41,4.365190|3.000000,0.04815101623535156,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,48324022272.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,42,4.365190|3.000000,0.04983401298522949,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,133327577088.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,43,4.365190|3.000000,0.05155491828918457,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,96389840896.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,44,4.365190|3.000000,0.05478262901306152,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,105290137600.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,45,4.365190|3.000000,0.032091379165649414,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,125207519232.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,46,4.365190|3.000000,0.03233814239501953,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,70533685248.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,47,4.365190|3.000000,0.04718303680419922,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,49937457152.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,48,4.365190|3.000000,0.05910134315490723,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,84497620992.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,49,4.365190|3.000000,0.03335928916931152,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,124848447488.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,50,4.365190|3.000000,0.04878854751586914,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,110874869760.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,51,4.365190|3.000000,0.0498659610748291,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,90504470528.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,52,4.365190|3.000000,0.05013871192932129,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,110592106496.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,53,4.365190|3.000000,0.048096656799316406,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,94681366528.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,54,4.365190|3.000000,0.03483462333679199,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,75733639168.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,55,4.365190|3.000000,0.04868125915527344,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,81830273024.000000,N/A,1,5
