MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,23,4.544744|3.000000|1.000000,0.02650761604309082,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,92078489600.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,24,4.544744|3.000000|1.000000,0.0281374454498291,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,106045980672.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,25,4.544744|3.000000|1.000000,0.025941848754882812,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,104411103232.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,26,4.544744|3.000000|1.000000,0.026852130889892578,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,147949060096.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,27,4.544744|3.000000|1.000000,0.02688908576965332,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,105508864000.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,28,4.544744|3.000000|1.000000,0.026259660720825195,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,60917682176.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,29,4.544744|3.000000|1.000000,0.02760934829711914,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,117340864512.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,30,4.544744|3.000000|1.000000,0.027313232421875,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,86276186112.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,31,4.544744|3.000000|1.000000,0.027432918548583984,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,62678900736.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,32,4.544744|3.000000|1.000000,0.026404619216918945,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,99498713088.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,33,4.544744|3.000000|1.000000,0.02623271942138672,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,86186090496.000000,N/A,2,5
