MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,0,10.019363|3.000000,0.8044719696044922,3.0,10.284841|3.000000,10.284841|3.000000,3,243624722432.000000,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,1,9.784774|3.000000,3.1626181602478027,3.0,10.667852|3.000000,10.667852|3.000000,3,3.455188,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,2,9.784774|3.000000,3.0287411212921143,3.0,10.667852|3.000000,10.667852|3.000000,3,3.307029,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,3,9.784774|3.000000,2.9969630241394043,3.0,10.667852|3.000000,8.820819|5.000000,5,2.671197,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,4,9.784774|3.000000,3.0318992137908936,3.0,10.667852|3.000000,8.820819|5.000000,5,2.092028,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,5,8.530859|3.000000,3.0354888439178467,3.0,8.203227|3.000000,8.203227|3.000000,3,1.356617,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,6,8.530859|3.000000,3.0876386165618896,3.0,8.203227|3.000000,8.203227|3.000000,3,0.569357,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,7,8.530859|3.000000,3.059843063354492,3.0,8.203227|3.000000,8.203227|3.000000,3,0.479395,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,8,8.530859|3.000000,3.135801076889038,3.0,8.203227|3.000000,8.203227|3.000000,3,0.425580,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,9,8.530859|3.000000,3.195801258087158,3.0,8.203227|3.000000,8.203227|3.000000,3,0.375523,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,10,8.530859|3.000000,3.361579656600952,3.0,8.203227|3.000000,8.203227|3.000000,3,0.376351,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,11,8.530859|3.000000,3.6638410091400146,3.0,8.203227|3.000000,8.203227|3.000000,3,0.385633,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,12,8.530859|3.000000,4.120692014694214,3.0,8.203227|3.000000,8.203227|3.000000,3,0.387934,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,13,8.530859|3.000000,4.544614791870117,3.0,8.203227|3.000000,8.203227|3.000000,3,0.427349,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,14,8.530859|3.000000,4.352515697479248,3.0,8.203227|3.000000,8.203227|3.000000,3,0.504992,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,15,8.530859|3.000000,4.3228583335876465,3.0,8.203227|3.000000,8.203227|3.000000,3,0.594590,N/A,5
