MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,33,4.521828|3.000000,0.019402503967285156,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,79596675072.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,34,4.521828|3.000000,0.01987171173095703,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,86968262656.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,35,4.521828|3.000000,0.01948714256286621,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,99495813120.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,36,4.521828|3.000000,0.019776344299316406,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,70533259264.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,37,4.521828|3.000000,0.019776582717895508,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,116314431488.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,38,4.521828|3.000000,0.01914834976196289,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,102010494976.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,39,4.521828|3.000000,0.018443822860717773,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,93192208384.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,40,4.521828|3.000000,0.019185543060302734,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,106996719616.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,41,4.521828|3.000000,0.019463777542114258,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,87848960000.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,42,4.521828|3.000000,0.01877117156982422,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,111100870656.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,43,4.521828|3.000000,0.02004075050354004,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,85334278144.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,44,4.521828|3.000000,0.05679488182067871,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,137298837504.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,45,4.521828|3.000000,0.019140958786010742,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,105355411456.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,46,4.521828|3.000000,0.019678354263305664,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,55377584128.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,47,4.521828|3.000000,0.019680023193359375,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,50080772096.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,48,4.521828|3.000000,0.020162343978881836,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,114902245376.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,49,4.521828|3.000000,0.01905035972595215,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,57426624512.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,50,4.521828|3.000000,0.01994609832763672,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,124214951936.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,51,4.521828|3.000000,0.01847696304321289,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,49937457152.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,52,4.521828|3.000000,0.019165515899658203,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,60609077248.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,53,4.521828|3.000000,0.020008087158203125,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,123772510208.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,54,4.521828|3.000000,0.01874518394470215,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,82416427008.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,55,4.521828|3.000000,0.01960158348083496,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,60401729536.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,56,4.521828|3.000000,0.01898336410522461,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,55723982848.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,57,4.521828|3.000000,0.020167827606201172,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,128233627648.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,58,4.521828|3.000000,0.01918768882751465,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,39509602304.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,59,4.521828|3.000000,0.01931023597717285,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,102139650048.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,60,4.521828|3.000000,0.018987178802490234,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,119198646272.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,61,4.521828|3.000000,0.01931285858154297,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,71609884672.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,62,4.521828|3.000000,0.019120454788208008,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,86278586368.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,63,4.521828|3.000000,0.019186973571777344,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,49938452480.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,64,4.521828|3.000000,0.019626617431640625,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,85364957184.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,65,4.521828|3.000000,0.019382953643798828,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,111100690432.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,66,4.521828|3.000000,0.01873016357421875,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,95999000576.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,67,4.521828|3.000000,0.02053546905517578,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,71498842112.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,68,4.521828|3.000000,0.0190582275390625,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,70537224192.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,69,4.521828|3.000000,0.01891636848449707,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,87769120768.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,70,4.521828|3.000000,0.01934337615966797,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,108692447232.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,71,4.521828|3.000000,0.019240856170654297,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,131122036736.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,72,4.521828|3.000000,0.01940441131591797,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,136699879424.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,73,4.521828|3.000000,0.019810199737548828,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,116946837504.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,74,4.521828|3.000000,0.0198974609375,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,109182205952.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,75,4.521828|3.000000,0.020276784896850586,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,82023399424.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,76,4.521828|3.000000,0.019145727157592773,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,96203472896.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,77,4.521828|3.000000,0.020223617553710938,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,115353673728.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,78,4.521828|3.000000,0.018608808517456055,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,5536927232.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,79,4.521828|3.000000,0.019317626953125,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,111584509952.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,80,4.521828|3.000000,0.01898336410522461,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,111119007744.000000,N/A,1,5
