MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,27,4.625110|3.000000,0.04324007034301758,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,37962883072.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,28,4.625110|3.000000,0.04791569709777832,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,49939546112.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,29,4.625110|3.000000,0.047319650650024414,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,89631768576.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,30,4.625110|3.000000,0.05347752571105957,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,65951875072.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,31,4.625110|3.000000,0.04445457458496094,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,86277185536.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,32,4.625110|3.000000,0.03862881660461426,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,77346021376.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,33,4.625110|3.000000,0.046270132064819336,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,79770353664.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,34,4.625110|3.000000,0.04746603965759277,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,89801359360.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,35,4.625110|3.000000,0.045739173889160156,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,82606292992.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,36,4.625110|3.000000,0.04689645767211914,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,99498745856.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,37,4.625110|3.000000,0.050005197525024414,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,116350517248.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,38,4.625110|3.000000,0.050096988677978516,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,115480756224.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,39,4.625110|3.000000,0.039011240005493164,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,87604494336.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,40,4.625110|3.000000,0.04559326171875,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,95394250752.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,41,4.625110|3.000000,0.03208136558532715,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,115280281600.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,42,4.625110|3.000000,0.05942487716674805,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,99477192704.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,43,4.625110|3.000000,0.049956560134887695,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,107589033984.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,44,4.625110|3.000000,0.04924964904785156,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,65524502528.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,45,4.625110|3.000000,0.04575777053833008,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,7144817.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,46,4.625110|3.000000,0.04957127571105957,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,92174016512.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,47,4.625110|3.000000,0.04999184608459473,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,110571626496.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,48,4.625110|3.000000,0.04804587364196777,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,75431165952.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,49,4.625110|3.000000,0.04963183403015137,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,101227094016.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,50,4.625110|3.000000,0.04274725914001465,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,108557541376.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,51,4.625110|3.000000,0.05500078201293945,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,34549977088.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,52,4.625110|3.000000,0.05021238327026367,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,60752441344.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,53,4.625110|3.000000,0.05016970634460449,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,86276546560.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,54,4.625110|3.000000,0.03716778755187988,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,98755223552.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,55,4.625110|3.000000,0.046643733978271484,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,89655681024.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,56,4.625110|3.000000,0.04694414138793945,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,62529675264.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,57,4.625110|3.000000,0.04882931709289551,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,82538577920.000000,N/A,1,5
