=== Stats: Cooling (2_Objs) ===
Scenario  NSGA-II_Pure  NT_1st_Obj_Elitism  NT_NSGA-II
count        17.000000           17.000000   17.000000
mean          4.535195            4.514456    4.535195
std           0.212201            0.284876    0.212201
min           4.030739            4.002626    4.030739
25%           4.424264            4.406363    4.424264
50%           4.516559            4.548521    4.516559
75%           4.636782            4.636782    4.636782
max           4.943788            5.000606    4.943788

Friedman Test:
Statistic: 5.5556, p-value: 0.062177
