MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,11,4.492990|3.000000|1.000000,0.06133103370666504,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,59765530624.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,12,4.492990|3.000000|1.000000,0.06795859336853027,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,141504036864.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,13,4.492990|3.000000|1.000000,0.07318878173828125,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,90164862976.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,14,4.492990|3.000000|1.000000,0.060227394104003906,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,98156593152.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,15,4.492990|3.000000|1.000000,0.07807660102844238,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,111203762176.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,16,4.492990|3.000000|1.000000,0.06466484069824219,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,70534520832.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,17,4.492990|3.000000|1.000000,0.06903290748596191,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,111100116992.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,18,4.492990|3.000000|1.000000,0.06892275810241699,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,75496816640.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,19,4.492990|3.000000|1.000000,0.061104536056518555,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,86276513792.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,20,4.492990|3.000000|1.000000,0.06556487083435059,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,99953115136.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,21,4.492990|3.000000|1.000000,0.06680989265441895,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,131420266496.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,22,4.492990|3.000000|1.000000,0.06674385070800781,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,89925320704.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,23,4.492990|3.000000|1.000000,0.04990363121032715,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,99631366144.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,24,4.492990|3.000000|1.000000,0.054456472396850586,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,113548451840.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,25,4.492990|3.000000|1.000000,0.06168532371520996,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,104758132736.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,26,4.492990|3.000000|1.000000,0.09337043762207031,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,114385829888.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,27,4.492990|3.000000|1.000000,0.06940770149230957,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,74530127872.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,28,4.492990|3.000000|1.000000,0.0702512264251709,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,92967493632.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,29,4.492990|3.000000|1.000000,0.06807231903076172,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,130813804544.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,30,4.492990|3.000000|1.000000,0.15871548652648926,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,106949255168.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,31,4.492990|3.000000|1.000000,0.04994368553161621,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,96393281536.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,32,4.492990|3.000000|1.000000,0.07173681259155273,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,100182433792.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,33,4.492990|3.000000|1.000000,0.06667017936706543,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,70537371648.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,34,4.492990|3.000000|1.000000,0.06763362884521484,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,130693120000.000000,N/A,2,5
