MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,26,4.751816|3.000000,0.051892757415771484,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,102854434816.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,27,4.751816|3.000000,0.03334236145019531,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,110292746240.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,28,4.751816|3.000000,0.03332781791687012,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,75313291264.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,29,4.751816|3.000000,0.04380321502685547,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,86276546560.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,30,4.751816|3.000000,0.045914649963378906,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,82671190016.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,31,4.751816|3.000000,0.04465007781982422,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,81297244160.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,32,4.751816|3.000000,0.04423069953918457,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,89303474176.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,33,4.751816|3.000000,0.05486154556274414,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,87835901952.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,34,4.751816|3.000000,0.04875040054321289,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,96556122112.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,35,4.751816|3.000000,0.046355485916137695,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,85375926272.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,36,4.751816|3.000000,0.04675793647766113,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,50046484480.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,37,4.751816|3.000000,0.051278114318847656,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,89180307456.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,38,4.751816|3.000000,0.045752763748168945,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,133116051456.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,39,4.751816|3.000000,0.04149270057678223,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,67238899712.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,40,4.751816|3.000000,0.05027151107788086,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,131124854784.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,41,4.751816|3.000000,0.04588890075683594,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,108701294592.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,42,4.751816|3.000000,0.032718658447265625,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,69281775616.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,43,4.751816|3.000000,0.05005645751953125,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,81492590592.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,44,4.751816|3.000000,0.04802298545837402,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,99579805696.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,45,4.751816|3.000000,0.035384178161621094,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,109712203776.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,46,4.751816|3.000000,0.05007004737854004,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,126469136384.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,47,4.751816|3.000000,0.04823589324951172,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,71657668608.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,48,4.751816|3.000000,0.051389455795288086,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,84042596352.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,49,4.751816|3.000000,0.05083870887756348,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,116134453248.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,50,4.751816|3.000000,0.05075502395629883,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,90800635904.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,51,4.751816|3.000000,0.04539227485656738,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,75059134464.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,52,4.751816|3.000000,0.03458094596862793,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,120863023104.000000,N/A,1,5
