MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,11,8.693059|5.000000|1.000000,0.026218891143798828,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,57784590336.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,12,8.693059|5.000000|1.000000,0.026447772979736328,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,82145738752.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,13,8.693059|5.000000|1.000000,0.026357173919677734,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,61460865024.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,14,8.693059|5.000000|1.000000,0.027031660079956055,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,91115888640.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,15,8.693059|5.000000|1.000000,0.026209354400634766,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,64555573248.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,16,8.693059|5.000000|1.000000,0.026105403900146484,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,70591864832.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,17,8.693059|5.000000|1.000000,0.026839256286621094,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,73178324992.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,18,8.693059|5.000000|1.000000,0.02605915069580078,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,44302168064.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,19,8.693059|5.000000|1.000000,0.026318788528442383,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,75854708736.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,20,8.693059|5.000000|1.000000,0.025447845458984375,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,9420097536.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,21,8.693059|5.000000|1.000000,0.026353120803833008,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,58791354368.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,22,8.693059|5.000000|1.000000,0.026526689529418945,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,84627554304.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,23,8.693059|5.000000|1.000000,0.026526212692260742,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,60439441408.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,24,8.693059|5.000000|1.000000,0.026776790618896484,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,88201650176.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,25,8.693059|5.000000|1.000000,0.02636098861694336,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,38471184384.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,26,8.693059|5.000000|1.000000,0.0263674259185791,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,112695558144.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,27,8.693059|5.000000|1.000000,0.02622532844543457,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,30238875648.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,28,8.693059|5.000000|1.000000,0.026862621307373047,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,49298583552.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,29,8.693059|5.000000|1.000000,0.026651620864868164,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,34460749824.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,30,8.693059|5.000000|1.000000,0.027230501174926758,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,106225377280.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,31,8.693059|5.000000|1.000000,0.025823354721069336,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,73772826624.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,32,8.693059|5.000000|1.000000,0.026285409927368164,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,100992466944.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,33,8.693059|5.000000|1.000000,0.026676416397094727,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,81775190016.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,34,8.693059|5.000000|1.000000,0.02633190155029297,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,114218278912.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,35,8.693059|5.000000|1.000000,0.02619647979736328,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,56188825600.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,36,8.693059|5.000000|1.000000,0.027652740478515625,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,87799750656.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,37,8.693059|5.000000|1.000000,0.026348590850830078,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,76709199872.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,38,8.693059|5.000000|1.000000,0.025265216827392578,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,100543774720.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,39,8.693059|5.000000|1.000000,0.02644205093383789,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,116920795136.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,40,8.693059|5.000000|1.000000,0.025608062744140625,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,50020036608.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,41,8.693059|5.000000|1.000000,0.026803255081176758,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,74634862592.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,42,8.693059|5.000000|1.000000,0.02625417709350586,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,99749224448.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,43,8.693059|5.000000|1.000000,0.027154207229614258,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,70925434880.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,44,8.693059|5.000000|1.000000,0.02710747718811035,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,60424884224.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,45,8.693059|5.000000|1.000000,0.02658843994140625,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,93803773952.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,46,8.693059|5.000000|1.000000,0.06546354293823242,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,105923133440.000000,N/A,2,5
