MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,19,2196.253418|9.000000,0.02148604393005371,9.0,2219.397705|9.000000,2196.253418|9.000000,2219.397705|9.000000,9,49770545152.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,20,2180.525879|7.000000,0.022242307662963867,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,23849058304.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,21,2180.525879|7.000000,0.02187824249267578,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,19520333824.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,22,2180.525879|7.000000,0.02217698097229004,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,67621253120.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,23,2180.525879|7.000000,0.020943403244018555,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,48031870976.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,24,2180.525879|7.000000,0.02156662940979004,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,50226065408.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,25,2180.525879|7.000000,0.021529436111450195,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,2735.415283,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,26,2180.525879|7.000000,0.02314019203186035,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,48248582144.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,27,2180.525879|7.000000,0.021712779998779297,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,21822185472.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,28,2180.525879|7.000000,0.022724628448486328,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,1033283136.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,29,2180.525879|7.000000,0.021809101104736328,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,65476689920.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,30,2180.525879|7.000000,0.021674394607543945,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,49381216256.000000,N/A,2,5
