MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,23,7.999949|7.000000|1.000000,0.02654743194580078,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,101300183040.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,24,7.999949|7.000000|1.000000,0.02703690528869629,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,52313681920.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,25,7.999949|7.000000|1.000000,0.026473045349121094,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,49613123584.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,26,7.999949|7.000000|1.000000,0.026311159133911133,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,99343089664.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,27,7.999949|7.000000|1.000000,0.02627253532409668,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,51595968512.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,28,7.999949|7.000000|1.000000,0.02708292007446289,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,71529988096.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,29,7.999949|7.000000|1.000000,0.026457786560058594,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,77446979584.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,30,7.999949|7.000000|1.000000,0.02713632583618164,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,13987035136.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,31,7.999949|7.000000|1.000000,0.02577829360961914,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,89851215872.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,32,7.999949|7.000000|1.000000,0.026384353637695312,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,35926122496.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,33,7.999949|7.000000|1.000000,0.027034282684326172,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,21544153088.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,34,7.999949|7.000000|1.000000,0.025920629501342773,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,50227486720.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,35,7.999949|7.000000|1.000000,0.026546478271484375,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,130925150208.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,36,7.999949|7.000000|1.000000,0.027476072311401367,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,70655721472.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,37,7.999949|7.000000|1.000000,0.02654886245727539,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,77422403584.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,38,7.999949|7.000000|1.000000,0.02541184425354004,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,71662911488.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,39,7.999949|7.000000|1.000000,0.026305675506591797,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,67515994112.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,40,7.999949|7.000000|1.000000,0.02580881118774414,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,49937465344.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,41,7.999949|7.000000|1.000000,0.026689529418945312,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,106866073600.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,42,7.999949|7.000000|1.000000,0.02630901336669922,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,112287268864.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,43,7.999949|7.000000|1.000000,0.02763819694519043,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,55299891200.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,44,7.999949|7.000000|1.000000,0.026478290557861328,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,49654530048.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,45,7.999949|7.000000|1.000000,0.026273012161254883,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,74398474240.000000,N/A,2,5
