MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,0,9.519447|3.000000,0.823951005935669,3.0,9.538762|3.000000,9.538762|3.000000,3,244280934400.000000,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,1,8.179563|3.000000,3.345818042755127,3.0,8.704541|3.000000,8.704541|3.000000,3,3.316287,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,2,8.179563|3.000000,3.13555908203125,3.0,8.704541|3.000000,4.392671|19.000000,19,3.745798,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,3,8.179563|3.000000,3.093263864517212,3.0,8.704541|3.000000,4.670046|7.000000,7,3.285636,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,4,4.492990|3.000000,3.1215429306030273,3.0,4.670046|3.000000,4.670046|3.000000,3,3.264368,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,5,4.492990|3.000000,3.1254611015319824,3.0,4.670046|3.000000,4.670046|3.000000,3,2.581255,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,6,4.492990|3.000000,3.1872501373291016,3.0,4.670046|3.000000,4.670046|3.000000,3,2.385017,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,7,4.492990|3.000000,3.323841094970703,3.0,4.670046|3.000000,4.670046|3.000000,3,2.295800,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,8,4.492990|3.000000,3.6264424324035645,3.0,4.670046|3.000000,4.670046|3.000000,3,2.193300,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,9,4.492990|3.000000,3.45279598236084,3.0,4.670046|3.000000,4.670046|3.000000,3,2.148069,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,10,4.492990|3.000000,3.7130379676818848,3.0,4.670046|3.000000,4.670046|3.000000,3,1.606871,N/A,5
