MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,27,4.633978|3.000000|1.000000,0.026879549026489258,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,105226461184.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,28,4.633978|3.000000|1.000000,0.026038646697998047,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,61409452032.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,29,4.633978|3.000000|1.000000,0.027661800384521484,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,112291258368.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,30,4.633978|3.000000|1.000000,0.02746868133544922,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,86276169728.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,31,4.633978|3.000000|1.000000,0.027510643005371094,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,62832988160.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,32,4.633978|3.000000|1.000000,0.026284456253051758,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,99498713088.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,33,4.633978|3.000000|1.000000,0.026325702667236328,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,86778888192.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,34,4.633978|3.000000|1.000000,0.02663445472717285,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,86404128768.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,35,4.633978|3.000000|1.000000,0.02772998809814453,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,75377926144.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,36,4.633978|3.000000|1.000000,0.026844024658203125,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,79637045248.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,37,4.633978|3.000000|1.000000,0.026927471160888672,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,98215886848.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,38,4.633978|3.000000|1.000000,0.026183366775512695,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,49937305600.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,39,4.633978|3.000000|1.000000,0.02630472183227539,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,99497598976.000000,N/A,2,5
