MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,45,8.287820|7.000000|1.000000,0.0268094539642334,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,93764108288.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,46,8.287820|7.000000|1.000000,0.02722787857055664,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,106258833408.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,47,8.287820|7.000000|1.000000,0.026958703994750977,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,68852965376.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,48,8.287820|7.000000|1.000000,0.026731491088867188,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,89997025280.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,49,8.287820|7.000000|1.000000,0.026933908462524414,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,102805471232.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,50,8.287820|7.000000|1.000000,0.026932954788208008,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,88344600576.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,51,8.287820|7.000000|1.000000,0.02678704261779785,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,72944959488.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,52,8.287820|7.000000|1.000000,0.026421785354614258,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,70872825856.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,53,8.287820|7.000000|1.000000,0.026992082595825195,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,101128683520.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,54,8.287820|7.000000|1.000000,0.026320934295654297,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,32631212032.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,55,8.287820|7.000000|1.000000,0.02565169334411621,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,49601060864.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,56,8.287820|7.000000|1.000000,0.027587413787841797,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,26792568832.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,57,8.287820|7.000000|1.000000,0.026298999786376953,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,70395633664.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,58,8.287820|7.000000|1.000000,0.02688741683959961,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,94587281408.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,59,8.287820|7.000000|1.000000,0.027525901794433594,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,63873134592.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,60,8.287820|7.000000|1.000000,0.026334524154663086,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,76604768256.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,61,8.287820|7.000000|1.000000,0.026788949966430664,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,55448354816.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,62,8.287820|7.000000|1.000000,0.02670454978942871,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,36520878080.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,63,8.287820|7.000000|1.000000,0.02684307098388672,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,66631229440.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,64,8.287820|7.000000|1.000000,0.026564836502075195,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,66091053056.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,65,8.287820|7.000000|1.000000,0.02603292465209961,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,59640795136.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,66,8.287820|7.000000|1.000000,0.026265859603881836,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,67576688640.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,67,8.287820|7.000000|1.000000,0.026413679122924805,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,93239484416.000000,N/A,2,5
