MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,0,10.425035|3.000000,0.7765750885009766,3.0,9.298513|3.000000,9.298513|3.000000,3,243266387968.000000,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,1,10.320214|3.000000,3.0708789825439453,3.0,9.419763|3.000000,9.419763|3.000000,3,3.386658,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,2,10.320214|3.000000,2.9472498893737793,3.0,9.419763|3.000000,9.419763|3.000000,3,3.454173,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,3,10.320214|3.000000,2.932201862335205,3.0,9.419763|3.000000,9.419763|3.000000,3,2.658915,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,4,10.320214|3.000000,2.9171361923217773,3.0,9.419763|3.000000,9.419763|3.000000,3,2.089930,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,5,8.287820|3.000000,2.9520320892333984,3.0,7.104368|3.000000,7.104368|3.000000,3,1.186718,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,6,8.287820|3.000000,3.0031681060791016,3.0,7.104368|3.000000,7.104368|3.000000,3,0.540544,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,7,8.287820|3.000000,3.0618741512298584,3.0,7.104368|3.000000,7.104368|3.000000,3,0.332197,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,8,8.287820|3.000000,3.2646520137786865,3.0,7.104368|3.000000,7.104368|3.000000,3,0.208236,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,9,8.287820|3.000000,3.7288169860839844,3.0,7.104368|3.000000,7.104368|3.000000,3,0.212293,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,10,8.287820|3.000000,4.218754053115845,3.0,7.104368|3.000000,7.104368|3.000000,3,0.200340,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,11,8.287820|3.000000,4.774200916290283,3.0,7.104368|3.000000,7.104368|3.000000,3,0.204402,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,12,8.287820|3.000000,4.693843126296997,3.0,7.104368|3.000000,7.104368|3.000000,3,0.204402,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,13,8.287820|3.000000,4.62540602684021,3.0,7.104368|3.000000,7.104368|3.000000,3,0.219702,N/A,5
