MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,24,4.559990|3.000000,5.220834732055664,3.0,4.516559|3.000000,4.516559|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,25,4.559990|3.000000,5.061585187911987,3.0,4.516559|3.000000,4.516559|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,26,4.559990|3.000000,5.134020805358887,3.0,4.516559|3.000000,4.516559|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,27,4.559990|3.000000,5.2346320152282715,3.0,4.516559|3.000000,4.516559|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,28,4.559990|3.000000,5.345996856689453,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,29,4.559990|3.000000,5.105334043502808,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,30,4.559990|3.000000,5.295358896255493,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,31,4.559990|3.000000,5.038266181945801,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,32,4.559990|3.000000,5.1613078117370605,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,33,4.559990|3.000000,5.239915132522583,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,34,4.559990|3.000000,5.184504985809326,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,35,4.559990|3.000000,5.2046473026275635,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,36,4.559990|3.000000,5.080466270446777,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,37,4.559990|3.000000,5.373603105545044,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,38,4.559990|3.000000,5.190267086029053,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
