MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,23,7.608275|7.000000|1.000000,0.026687145233154297,7.0,8.696528|7.000000|1.000000,7.608275|7.000000|1.000000,8.696528|7.000000|1.000000,7,52062105600.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,24,7.608275|7.000000|1.000000,0.027047395706176758,7.0,8.696528|7.000000|1.000000,7.608275|7.000000|1.000000,8.696528|7.000000|1.000000,7,88280702976.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,25,7.608275|7.000000|1.000000,0.026584863662719727,7.0,8.696528|7.000000|1.000000,7.608275|7.000000|1.000000,8.696528|7.000000|1.000000,7,38728118272.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,26,7.608275|7.000000|1.000000,0.026330947875976562,7.0,8.696528|7.000000|1.000000,7.608275|7.000000|1.000000,8.696528|7.000000|1.000000,7,112704897024.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,27,7.608275|7.000000|1.000000,0.026528596878051758,7.0,8.696528|7.000000|1.000000,7.608275|7.000000|1.000000,8.696528|7.000000|1.000000,7,29596919808.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,28,7.608275|7.000000|1.000000,0.026782512664794922,7.0,8.696528|7.000000|1.000000,7.608275|7.000000|1.000000,8.696528|7.000000|1.000000,7,56986177536.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,29,7.608275|7.000000|1.000000,0.02666616439819336,7.0,8.696528|7.000000|1.000000,7.608275|7.000000|1.000000,8.696528|7.000000|1.000000,7,84824293376.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,30,7.608275|7.000000|1.000000,0.027223825454711914,7.0,8.696528|7.000000|1.000000,7.608275|7.000000|1.000000,8.696528|7.000000|1.000000,7,94071881728.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,31,7.608275|7.000000|1.000000,0.025992155075073242,7.0,8.696528|7.000000|1.000000,7.608275|7.000000|1.000000,8.696528|7.000000|1.000000,7,75914469376.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,32,7.608275|7.000000|1.000000,0.02637004852294922,7.0,8.696528|7.000000|1.000000,7.608275|7.000000|1.000000,8.696528|7.000000|1.000000,7,30496520192.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,33,7.608275|7.000000|1.000000,0.026821374893188477,7.0,8.696528|7.000000|1.000000,7.608275|7.000000|1.000000,8.696528|7.000000|1.000000,7,79843672064.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,34,7.608275|7.000000|1.000000,0.026331186294555664,7.0,8.696528|7.000000|1.000000,7.608275|7.000000|1.000000,8.696528|7.000000|1.000000,7,105681559552.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,35,7.608275|7.000000|1.000000,0.026431798934936523,7.0,8.696528|7.000000|1.000000,7.608275|7.000000|1.000000,8.696528|7.000000|1.000000,7,82364416000.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,36,7.608275|7.000000|1.000000,0.027486324310302734,7.0,8.696528|7.000000|1.000000,7.608275|7.000000|1.000000,8.696528|7.000000|1.000000,7,86181470208.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,37,7.608275|7.000000|1.000000,0.026504039764404297,7.0,8.696528|7.000000|1.000000,7.608275|7.000000|1.000000,8.696528|7.000000|1.000000,7,26936639488.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,38,7.608275|7.000000|1.000000,0.025546550750732422,7.0,8.696528|7.000000|1.000000,7.608275|7.000000|1.000000,8.696528|7.000000|1.000000,7,105369763840.000000,N/A,2,5
