MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,19,7.872597|7.000000|1.000000,0.02611517906188965,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,42903633920.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,20,7.872597|7.000000|1.000000,0.025509119033813477,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,26408419328.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,21,7.872597|7.000000|1.000000,0.02735161781311035,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,29979748352.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,22,7.872597|7.000000|1.000000,0.025964736938476562,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,86146441216.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,23,7.872597|7.000000|1.000000,0.026547670364379883,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,79257034752.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,24,7.872597|7.000000|1.000000,0.026861906051635742,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,44468465664.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,25,7.872597|7.000000|1.000000,0.026868104934692383,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,76815941632.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,26,7.872597|7.000000|1.000000,0.026073694229125977,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,68572192768.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,27,7.872597|7.000000|1.000000,0.02659463882446289,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,27690338304.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,28,7.872597|7.000000|1.000000,0.026666879653930664,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,28040400896.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,29,7.872597|7.000000|1.000000,0.026801109313964844,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,61204680704.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,30,7.872597|7.000000|1.000000,0.02714824676513672,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,53623754752.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,31,7.872597|7.000000|1.000000,0.026308298110961914,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,30991347712.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,32,7.872597|7.000000|1.000000,0.026545047760009766,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,89547497472.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,33,7.872597|7.000000|1.000000,0.026693105697631836,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,76133408768.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,34,7.872597|7.000000|1.000000,0.026330232620239258,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,88135245824.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,35,7.872597|7.000000|1.000000,0.026532888412475586,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,88836104192.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,36,7.872597|7.000000|1.000000,0.027322769165039062,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,63399362560.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,37,7.872597|7.000000|1.000000,0.026497840881347656,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,83188867072.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,38,7.872597|7.000000|1.000000,0.025234222412109375,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,49085845504.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,39,7.872597|7.000000|1.000000,0.026715755462646484,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,88539840512.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,40,7.872597|7.000000|1.000000,0.02570056915283203,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,77300826112.000000,N/A,2,5
