MOGP_NSGAII,767fc638-e85d-11f0-b717-6e001b3eef54,Boston,74,0,19.841860|3.000000|0.000000|0.000000|0.000000,1.168774127960205,3.0,19.683474|3.000000|0.000000|0.000000|0.000000,19.683474|3.000000|0.000000|0.000000|0.000000,3,243221397504.000000,N/A,5
MOGP_NSGAII,767fc638-e85d-11f0-b717-6e001b3eef54,Boston,74,1,10.466706|3.000000|0.000000|0.000000|0.000000,4.925823211669922,3.0,11.197788|3.000000|0.000000|0.000000|0.000000,10.570427|3.000000|2.000000|0.000000|0.000000,3,3899.211426,N/A,5
MOGP_NSGAII,767fc638-e85d-11f0-b717-6e001b3eef54,Boston,74,2,9.108727|3.000000|0.000000|0.000000|0.000000,4.797704219818115,3.0,9.744955|3.000000|0.000000|0.000000|0.000000,9.744955|3.000000|0.000000|0.000000|0.000000,3,3899.385254,N/A,5
MOGP_NSGAII,767fc638-e85d-11f0-b717-6e001b3eef54,Boston,74,3,9.108727|3.000000|0.000000|0.000000|0.000000,4.924738883972168,3.0,9.744955|3.000000|0.000000|0.000000|0.000000,8.325772|3.000000|1.000000|0.000000|0.000000,3,3.966811,N/A,5
MOGP_NSGAII,767fc638-e85d-11f0-b717-6e001b3eef54,Boston,74,4,9.108727|3.000000|0.000000|0.000000|0.000000,5.350212097167969,3.0,9.744955|3.000000|0.000000|0.000000|0.000000,8.325772|3.000000|1.000000|0.000000|0.000000,3,1.073065,N/A,5
MOGP_NSGAII,767fc638-e85d-11f0-b717-6e001b3eef54,Boston,74,5,9.108727|3.000000|0.000000|0.000000|0.000000,5.964051961898804,3.0,9.744955|3.000000|0.000000|0.000000|0.000000,8.325772|3.000000|1.000000|0.000000|0.000000,3,0.620614,N/A,5
MOGP_NSGAII,767fc638-e85d-11f0-b717-6e001b3eef54,Boston,74,6,9.108727|3.000000|0.000000|0.000000|0.000000,7.458648204803467,3.0,9.744955|3.000000|0.000000|0.000000|0.000000,8.325772|3.000000|1.000000|0.000000|0.000000,3,0.377236,N/A,5
MOGP_NSGAII,767fc638-e85d-11f0-b717-6e001b3eef54,Boston,74,7,9.108727|3.000000|0.000000|0.000000|0.000000,9.786209106445312,3.0,9.744955|3.000000|0.000000|0.000000|0.000000,8.325772|3.000000|1.000000|0.000000|0.000000,3,0.293249,N/A,5
MOGP_NSGAII,767fc638-e85d-11f0-b717-6e001b3eef54,Boston,74,8,9.108727|3.000000|0.000000|0.000000|0.000000,11.708002090454102,3.0,9.744955|3.000000|0.000000|0.000000|0.000000,8.325772|3.000000|1.000000|0.000000|0.000000,3,0.301144,N/A,5
MOGP_NSGAII,767fc638-e85d-11f0-b717-6e001b3eef54,Boston,74,9,9.108727|3.000000|0.000000|0.000000|0.000000,11.780330181121826,3.0,9.744955|3.000000|0.000000|0.000000|0.000000,8.325772|3.000000|1.000000|0.000000|0.000000,3,0.303564,N/A,5
MOGP_NSGAII,767fc638-e85d-11f0-b717-6e001b3eef54,Boston,74,10,9.108727|3.000000|0.000000|0.000000|0.000000,11.400772094726562,3.0,9.744955|3.000000|0.000000|0.000000|0.000000,8.325772|3.000000|1.000000|0.000000|0.000000,3,0.303536,N/A,5
MOGP_NSGAII,767fc638-e85d-11f0-b717-6e001b3eef54,Boston,74,11,9.108727|3.000000|0.000000|0.000000|0.000000,11.093254089355469,3.0,9.744955|3.000000|0.000000|0.000000|0.000000,8.325772|3.000000|1.000000|0.000000|0.000000,3,0.303444,N/A,5
MOGP_NSGAII,767fc638-e85d-11f0-b717-6e001b3eef54,Boston,74,12,9.108727|3.000000|0.000000|0.000000|0.000000,10.769880056381226,3.0,9.744955|3.000000|0.000000|0.000000|0.000000,8.325772|3.000000|1.000000|0.000000|0.000000,3,0.308558,N/A,5
