MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,0,10.288237|3.000000,0.8177809715270996,3.0,9.646839|3.000000,N/A,N/A,0,243726123008.000000,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,1,10.188814|3.000000,3.2226169109344482,3.0,9.747214|3.000000,9.592007|5.000000,11.341761|5.000000,5,3.426763,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,2,10.188814|3.000000,3.0738582611083984,3.0,9.747214|3.000000,8.600306|5.000000,8.032568|5.000000,5,3.323790,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,3,10.188814|3.000000,3.05472993850708,3.0,9.747214|3.000000,8.364853|5.000000,7.789542|5.000000,5,2.643462,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,4,10.188814|3.000000,3.0770628452301025,3.0,9.747214|3.000000,8.364853|5.000000,7.789542|5.000000,5,2.310788,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,5,10.188814|3.000000,3.080172061920166,3.0,9.747214|3.000000,8.364853|5.000000,7.789542|5.000000,5,1.461381,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,6,10.188814|3.000000,3.0915119647979736,3.0,9.747214|3.000000,8.364853|5.000000,7.789542|5.000000,5,0.739676,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,7,10.188814|3.000000,3.1730551719665527,3.0,9.747214|3.000000,8.364853|5.000000,7.789542|5.000000,5,0.671909,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,8,10.188814|3.000000,3.2186601161956787,3.0,9.747214|3.000000,7.238848|9.000000,6.664863|9.000000,9,0.642126,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,9,10.188814|3.000000,3.4452240467071533,3.0,9.747214|3.000000,7.238848|9.000000,6.664863|9.000000,9,0.596854,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,10,10.188814|3.000000,3.74697208404541,3.0,9.747214|3.000000,7.238848|9.000000,6.664863|9.000000,9,0.725734,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,11,10.188814|3.000000,4.109806060791016,3.0,9.747214|3.000000,7.238848|9.000000,6.664863|9.000000,9,0.888356,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,12,10.188814|3.000000,3.991063117980957,3.0,9.747214|3.000000,7.238848|9.000000,6.664863|9.000000,9,0.990774,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,13,10.188814|3.000000,3.7888340950012207,3.0,9.747214|3.000000,7.238848|9.000000,6.664863|9.000000,9,0.900679,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,14,10.188814|3.000000,4.311198949813843,3.0,9.747214|3.000000,7.238848|9.000000,6.664863|9.000000,9,0.322084,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,15,10.188814|3.000000,4.7786290645599365,3.0,9.747214|3.000000,7.238848|9.000000,6.664863|9.000000,9,0.283541,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,16,10.188814|3.000000,5.620689153671265,3.0,9.747214|3.000000,7.238848|9.000000,6.664863|9.000000,9,0.283541,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,17,10.188814|3.000000,4.787384033203125,3.0,9.747214|3.000000,7.238848|9.000000,6.664863|9.000000,9,0.283541,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,18,10.188814|3.000000,4.833661794662476,3.0,9.747214|3.000000,7.238848|9.000000,6.664863|9.000000,9,0.310363,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,19,10.188814|3.000000,4.654427766799927,3.0,9.747214|3.000000,7.238848|9.000000,6.664863|9.000000,9,0.310363,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,20,10.188814|3.000000,4.811120271682739,3.0,9.747214|3.000000,7.238848|9.000000,6.664863|9.000000,9,0.310363,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,21,10.188814|3.000000,4.591130256652832,3.0,9.747214|3.000000,7.238848|9.000000,6.664863|9.000000,9,0.310363,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,22,10.188814|3.000000,4.9502317905426025,3.0,9.747214|3.000000,7.238848|9.000000,6.664863|9.000000,9,0.310363,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,23,10.188814|3.000000,4.673988103866577,3.0,9.747214|3.000000,7.238848|9.000000,6.664863|9.000000,9,0.310363,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,24,10.188814|3.000000,5.391386270523071,3.0,9.747214|3.000000,7.238848|9.000000,6.664863|9.000000,9,0.334579,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,25,10.188814|3.000000,4.65068507194519,3.0,9.747214|3.000000,7.238848|9.000000,6.664863|9.000000,9,0.357636,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,26,10.188814|3.000000,5.31298303604126,3.0,9.747214|3.000000,7.238848|9.000000,6.664863|9.000000,9,0.357636,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,27,10.188814|3.000000,4.781581163406372,3.0,9.747214|3.000000,7.238848|9.000000,6.664863|9.000000,9,0.357636,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,28,10.188814|3.000000,4.750592947006226,3.0,9.747214|3.000000,7.238848|9.000000,6.664863|9.000000,9,0.357636,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,29,10.188814|3.000000,4.6641600131988525,3.0,9.747214|3.000000,7.238848|9.000000,6.664863|9.000000,9,0.357636,N/A,5
MOGP_NSGAII,a0c516ea-f00b-11f0-b9e8-6e001b3eef54,Boston,74,30,10.188814|3.000000,5.935539960861206,3.0,9.747214|3.000000,7.238848|9.000000,6.664863|9.000000,9,0.357636,N/A,5
