MOGP_GENERATIONAL,359792a6-f094-11f0-91b9-6e001b3eef54,Toxicity,74,0,2221.278809|15.000000,0.9101359844207764,15.0,2040.086060|15.000000,N/A,N/A,0,161016578048.000000,N/A,5
MOGP_GENERATIONAL,359792a6-f094-11f0-91b9-6e001b3eef54,Toxicity,74,1,2210.936279|3.000000,0.024036884307861328,3.0,2305.995850|3.000000,2210.936279|3.000000,2305.995850|3.000000,3,54333304832.000000,N/A,5
MOGP_GENERATIONAL,359792a6-f094-11f0-91b9-6e001b3eef54,Toxicity,74,2,2146.338867|3.000000,0.021970033645629883,3.0,2228.033447|3.000000,2146.338867|3.000000,2228.033447|3.000000,3,10573772800.000000,N/A,5
MOGP_GENERATIONAL,359792a6-f094-11f0-91b9-6e001b3eef54,Toxicity,74,3,2127.584717|3.000000,0.022068023681640625,3.0,2217.610596|3.000000,2127.584717|3.000000,2217.610596|3.000000,3,51116285952.000000,N/A,5
MOGP_GENERATIONAL,359792a6-f094-11f0-91b9-6e001b3eef54,Toxicity,74,4,2127.584717|3.000000,0.021172046661376953,3.0,2217.610596|3.000000,2127.584717|3.000000,2217.610596|3.000000,3,27379824640.000000,N/A,5
MOGP_GENERATIONAL,359792a6-f094-11f0-91b9-6e001b3eef54,Toxicity,74,5,2127.584717|3.000000,0.019557952880859375,3.0,2217.610596|3.000000,2127.584717|3.000000,2217.610596|3.000000,3,50378088448.000000,N/A,5
MOGP_GENERATIONAL,359792a6-f094-11f0-91b9-6e001b3eef54,Toxicity,74,6,2127.584717|3.000000,0.021200180053710938,3.0,2217.610596|3.000000,2127.584717|3.000000,2217.610596|3.000000,3,41925251072.000000,N/A,5
MOGP_GENERATIONAL,359792a6-f094-11f0-91b9-6e001b3eef54,Toxicity,74,7,2127.584717|3.000000,0.019644737243652344,3.0,2217.610596|3.000000,2127.584717|3.000000,2217.610596|3.000000,3,64609828864.000000,N/A,5
MOGP_GENERATIONAL,359792a6-f094-11f0-91b9-6e001b3eef54,Toxicity,74,8,2127.584717|3.000000,0.020520925521850586,3.0,2217.610596|3.000000,2127.584717|3.000000,2217.610596|3.000000,3,24909654016.000000,N/A,5
MOGP_GENERATIONAL,359792a6-f094-11f0-91b9-6e001b3eef54,Toxicity,74,9,2127.584717|3.000000,0.020839929580688477,3.0,2217.610596|3.000000,2127.584717|3.000000,2217.610596|3.000000,3,47099658240.000000,N/A,5
MOGP_GENERATIONAL,359792a6-f094-11f0-91b9-6e001b3eef54,Toxicity,74,10,2127.584717|3.000000,0.02021503448486328,3.0,2217.610596|3.000000,2127.584717|3.000000,2217.610596|3.000000,3,74712645632.000000,N/A,5
MOGP_GENERATIONAL,359792a6-f094-11f0-91b9-6e001b3eef54,Toxicity,74,11,2127.584717|3.000000,0.018726825714111328,3.0,2217.610596|3.000000,2127.584717|3.000000,2217.610596|3.000000,3,70316998656.000000,N/A,5
MOGP_GENERATIONAL,359792a6-f094-11f0-91b9-6e001b3eef54,Toxicity,74,12,2127.584717|3.000000,0.021451711654663086,3.0,2217.610596|3.000000,2127.584717|3.000000,2217.610596|3.000000,3,5531559424.000000,N/A,5
