MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,0,10.400187|3.000000,0.9480588436126709,3.0,9.363091|3.000000,N/A,N/A,0,243317735424.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,1,10.400187|3.000000,0.02617192268371582,3.0,9.363091|3.000000,10.400187|3.000000,9.363091|3.000000,3,93973856256.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,2,9.739157|3.000000,0.01793694496154785,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,94172626944.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,3,9.739157|3.000000,0.020741939544677734,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,49945366528.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,4,9.739157|3.000000,0.017403125762939453,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,85749047296.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,5,9.739157|3.000000,0.02460312843322754,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,67685470208.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,6,9.739157|3.000000,0.01919102668762207,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,63276892160.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,7,9.739157|3.000000,0.015108108520507812,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,110468792320.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,8,9.739157|3.000000,0.015609264373779297,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,19961890816.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,9,9.739157|3.000000,0.01513981819152832,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,89775734784.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,10,9.739157|3.000000,0.014585018157958984,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,100207960064.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,11,9.739157|3.000000,0.016624927520751953,3.0,8.965955|3.000000,8.243773|7.000000,7.222734|7.000000,7,92463775744.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,12,9.739157|3.000000,0.015220880508422852,3.0,8.965955|3.000000,9.279298|5.000000,8.301580|5.000000,5,36993478656.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,13,9.739157|3.000000,0.01613593101501465,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,59066560512.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,14,9.739157|3.000000,0.016663789749145508,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,72977866752.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,15,9.739157|3.000000,0.02020716667175293,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,62599045120.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,16,9.739157|3.000000,0.032598018646240234,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,71786618880.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,17,9.739157|3.000000,0.023340940475463867,3.0,8.965955|3.000000,9.571048|11.000000,9.033487|11.000000,11,107163680768.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,18,9.739157|3.000000,0.022950172424316406,3.0,8.965955|3.000000,9.532616|11.000000,8.742280|11.000000,11,56473817088.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,19,9.739157|3.000000,0.015032052993774414,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,79391121408.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,20,9.739157|3.000000,0.016581058502197266,3.0,8.965955|3.000000,9.518924|7.000000,8.784568|7.000000,7,69840347136.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,21,9.739157|3.000000,0.02787303924560547,3.0,8.965955|3.000000,9.466385|7.000000,8.567924|7.000000,7,79846752256.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,22,9.739157|3.000000,0.01891803741455078,3.0,8.965955|3.000000,8.933474|7.000000,7.964468|7.000000,7,44007284736.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,23,9.739157|3.000000,0.0157167911529541,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,88306040832.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,24,9.739157|3.000000,0.01945805549621582,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,41112879104.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,25,9.739157|3.000000,0.024464130401611328,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,92087631872.000000,9.838818|3.000000,5
