MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,27,4.570655|3.000000,0.01861095428466797,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,78693531648.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,28,4.570655|3.000000,0.01967000961303711,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,106983727104.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,29,4.570655|3.000000,0.019408226013183594,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,93931618304.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,30,4.570655|3.000000,0.0185089111328125,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,93018644480.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,31,4.570655|3.000000,0.019037961959838867,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,86304571392.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,32,4.570655|3.000000,0.019313573837280273,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,115940032512.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,33,4.570655|3.000000,0.01967906951904297,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,124110553088.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,34,4.570655|3.000000,0.019812822341918945,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,144441999360.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,35,4.570655|3.000000,0.01981329917907715,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,57860661248.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,36,4.570655|3.000000,0.02004551887512207,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,123147001856.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,37,4.570655|3.000000,0.019218921661376953,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,82753658880.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,38,4.570655|3.000000,0.020015239715576172,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,95816155136.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,39,4.570655|3.000000,0.018746137619018555,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,109849141248.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,40,4.570655|3.000000,0.018952608108520508,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,118495002624.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,41,4.570655|3.000000,0.0188906192779541,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,97836613632.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,42,4.570655|3.000000,0.01943182945251465,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,114279219200.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,43,4.570655|3.000000,0.019588232040405273,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,111775334400.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,44,4.570655|3.000000,0.019948720932006836,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,121492168704.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,45,4.570655|3.000000,0.019361495971679688,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,70533660672.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,46,4.570655|3.000000,0.019038677215576172,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,85442797568.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,47,4.570655|3.000000,0.019170284271240234,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,85456797696.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,48,4.570655|3.000000,0.02015376091003418,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,106672955392.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,49,4.570655|3.000000,0.019121885299682617,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,103464992768.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,50,4.570655|3.000000,0.019572019577026367,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,93334700032.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,51,4.570655|3.000000,0.018484830856323242,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,120964382720.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,52,4.570655|3.000000,0.01927495002746582,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,70533488640.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,53,4.570655|3.000000,0.020058393478393555,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,96411983872.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,54,4.570655|3.000000,0.01926398277282715,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,92076621824.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,55,4.570655|3.000000,0.01893472671508789,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,83390685184.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,56,4.570655|3.000000,0.01972675323486328,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,144314302464.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,57,4.570655|3.000000,0.019892454147338867,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,111667740672.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,58,4.570655|3.000000,0.01923513412475586,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,37126426624.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,59,4.570655|3.000000,0.01951313018798828,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,95722774528.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,60,4.570655|3.000000,0.019012928009033203,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,79799279616.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,61,4.570655|3.000000,0.019316911697387695,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,103349305344.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,62,4.570655|3.000000,0.01960921287536621,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,86282125312.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,63,4.570655|3.000000,0.019722700119018555,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,85245165568.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,64,4.570655|3.000000,0.018954992294311523,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,69617156096.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,65,4.570655|3.000000,0.01901841163635254,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,106178150400.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,66,4.570655|3.000000,0.018908023834228516,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,98778210304.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,67,4.570655|3.000000,0.01957988739013672,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,58669604864.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,68,4.570655|3.000000,0.055358171463012695,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,86303760384.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,69,4.570655|3.000000,0.018867969512939453,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,111117312000.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,70,4.570655|3.000000,0.019434452056884766,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,123024465920.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,71,4.570655|3.000000,0.019431114196777344,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,111168307200.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,72,4.570655|3.000000,0.019929885864257812,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,111527788544.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,73,4.570655|3.000000,0.019979238510131836,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,88650293248.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,74,4.570655|3.000000,0.020122766494750977,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,80666550272.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,75,4.570655|3.000000,0.019805192947387695,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,75340013568.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,76,4.570655|3.000000,0.019562959671020508,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,96345858048.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,77,4.570655|3.000000,0.019556760787963867,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,85437128704.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,78,4.570655|3.000000,0.019247055053710938,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,86104686592.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,79,4.570655|3.000000,0.019047260284423828,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,99497148416.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,80,4.570655|3.000000,0.01910996437072754,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,60001210368.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,81,4.570655|3.000000,0.02024674415588379,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,115477749760.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,82,4.570655|3.000000,0.018462419509887695,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,82612469760.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,83,4.570655|3.000000,0.019365787506103516,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,65987854336.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,84,4.570655|3.000000,0.019430875778198242,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,99498721280.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,85,4.570655|3.000000,0.020907163619995117,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,127924486144.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,86,4.570655|3.000000,0.01995682716369629,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,97148149760.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,87,4.570655|3.000000,0.019071102142333984,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,70533439488.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,88,4.570655|3.000000,0.018729448318481445,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,115256598528.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,89,4.570655|3.000000,0.0189056396484375,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,120591458304.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,90,4.570655|3.000000,0.018792390823364258,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,53237481472.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,91,4.570655|3.000000,0.02003645896911621,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,80776167424.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,92,4.570655|3.000000,0.02016472816467285,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,120738004992.000000,N/A,1,5
