MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,26,4.544744|3.000000,0.01955437660217285,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,124294660096.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,27,4.544744|3.000000,0.019233226776123047,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,79481307136.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,28,4.544744|3.000000,0.019624948501586914,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,79480725504.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,29,4.544744|3.000000,0.018748998641967773,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,93869334528.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,30,4.544744|3.000000,0.019205808639526367,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,63065948160.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,31,4.544744|3.000000,0.018843889236450195,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,61585833984.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,32,4.544744|3.000000,0.01952385902404785,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,62008942592.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,33,4.544744|3.000000,0.01924729347229004,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,87318773760.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,34,4.544744|3.000000,0.019656658172607422,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,131615916032.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,35,4.544744|3.000000,0.018822431564331055,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,121552805888.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,36,4.544744|3.000000,0.019520998001098633,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,73513230336.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,37,4.544744|3.000000,0.02026057243347168,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,86406103040.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,38,4.544744|3.000000,0.01938772201538086,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,87110082560.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,39,4.544744|3.000000,0.01844000816345215,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,95340937216.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,40,4.544744|3.000000,0.019159793853759766,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,116316807168.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,41,4.544744|3.000000,0.018735170364379883,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,138539155456.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,42,4.544744|3.000000,0.018722057342529297,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,73213206528.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,43,4.544744|3.000000,0.019925832748413086,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,121165692928.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,44,4.544744|3.000000,0.01969313621520996,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,112993902592.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,45,4.544744|3.000000,0.0189056396484375,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,126221271040.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,46,4.544744|3.000000,0.0193636417388916,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,95482159104.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,47,4.544744|3.000000,0.019925832748413086,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,108211830784.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,48,4.544744|3.000000,0.019718170166015625,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,89385975808.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,49,4.544744|3.000000,0.01934814453125,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,79550218240.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,50,4.544744|3.000000,0.019843578338623047,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,69315633152.000000,N/A,1,5
