MOGP_GENERATIONAL,c6a3383e-e7d1-11f0-a37d-6e001b3eef54,Cooling,74,0,9.519447|3.000000,1.1111788749694824,3.0,9.538762|3.000000,9.538762|3.000000,3,244280934400.000000,N/A,5
MOGP_GENERATIONAL,c6a3383e-e7d1-11f0-a37d-6e001b3eef54,Cooling,74,1,4.492990|3.000000,0.02944803237915039,3.0,4.670046|3.000000,4.670046|3.000000,3,147009650688.000000,N/A,5
MOGP_GENERATIONAL,c6a3383e-e7d1-11f0-a37d-6e001b3eef54,Cooling,74,2,4.492990|3.000000,0.01926422119140625,3.0,4.670046|3.000000,4.670046|3.000000,3,104396275712.000000,N/A,5
MOGP_GENERATIONAL,c6a3383e-e7d1-11f0-a37d-6e001b3eef54,Cooling,74,3,4.492990|3.000000,0.024294137954711914,3.0,4.670046|3.000000,4.670046|3.000000,3,66022916096.000000,N/A,5
MOGP_GENERATIONAL,c6a3383e-e7d1-11f0-a37d-6e001b3eef54,Cooling,74,4,4.492990|3.000000,0.01882338523864746,3.0,4.670046|3.000000,4.670046|3.000000,3,65196154880.000000,N/A,5
MOGP_GENERATIONAL,c6a3383e-e7d1-11f0-a37d-6e001b3eef54,Cooling,74,5,4.492990|3.000000,0.02025890350341797,3.0,4.670046|3.000000,4.670046|3.000000,3,86277177344.000000,N/A,5
MOGP_GENERATIONAL,c6a3383e-e7d1-11f0-a37d-6e001b3eef54,Cooling,74,6,4.492990|3.000000,0.018964052200317383,3.0,4.670046|3.000000,4.670046|3.000000,3,107093360640.000000,N/A,5
MOGP_GENERATIONAL,c6a3383e-e7d1-11f0-a37d-6e001b3eef54,Cooling,74,7,4.492990|3.000000,0.016420841217041016,3.0,4.670046|3.000000,4.670046|3.000000,3,105776021504.000000,N/A,5
MOGP_GENERATIONAL,c6a3383e-e7d1-11f0-a37d-6e001b3eef54,Cooling,74,8,4.492990|3.000000,0.016472816467285156,3.0,4.670046|3.000000,4.670046|3.000000,3,131126411264.000000,N/A,5
MOGP_GENERATIONAL,c6a3383e-e7d1-11f0-a37d-6e001b3eef54,Cooling,74,9,4.492990|3.000000,0.016011953353881836,3.0,4.670046|3.000000,4.670046|3.000000,3,75557994496.000000,N/A,5
MOGP_GENERATIONAL,c6a3383e-e7d1-11f0-a37d-6e001b3eef54,Cooling,74,10,4.492990|3.000000,0.01569509506225586,3.0,4.670046|3.000000,4.670046|3.000000,3,70533267456.000000,N/A,5
MOGP_GENERATIONAL,c6a3383e-e7d1-11f0-a37d-6e001b3eef54,Cooling,74,11,4.492990|3.000000,0.01600480079650879,3.0,4.670046|3.000000,4.670046|3.000000,3,104802361344.000000,N/A,5
MOGP_GENERATIONAL,c6a3383e-e7d1-11f0-a37d-6e001b3eef54,Cooling,74,12,4.487379|9.000000,0.016008853912353516,9.0,4.660325|9.000000,4.660325|9.000000,9,114769903616.000000,N/A,5
MOGP_GENERATIONAL,c6a3383e-e7d1-11f0-a37d-6e001b3eef54,Cooling,74,13,4.487379|9.000000,0.017060041427612305,9.0,4.660325|9.000000,4.660325|9.000000,9,117982740480.000000,N/A,5
MOGP_GENERATIONAL,c6a3383e-e7d1-11f0-a37d-6e001b3eef54,Cooling,74,14,4.444045|9.000000,0.016917943954467773,9.0,4.548521|9.000000,4.548521|9.000000,9,93535354880.000000,N/A,5
MOGP_GENERATIONAL,c6a3383e-e7d1-11f0-a37d-6e001b3eef54,Cooling,74,15,4.444045|9.000000,0.015383005142211914,9.0,4.548521|9.000000,4.548521|9.000000,9,66116534272.000000,N/A,5
MOGP_GENERATIONAL,c6a3383e-e7d1-11f0-a37d-6e001b3eef54,Cooling,74,16,4.444045|9.000000,0.016265392303466797,9.0,4.548521|9.000000,4.548521|9.000000,9,96323698688.000000,N/A,5
MOGP_GENERATIONAL,c6a3383e-e7d1-11f0-a37d-6e001b3eef54,Cooling,74,17,4.444045|9.000000,0.01683211326599121,9.0,4.548521|9.000000,4.548521|9.000000,9,79182970880.000000,N/A,5
MOGP_GENERATIONAL,c6a3383e-e7d1-11f0-a37d-6e001b3eef54,Cooling,74,18,4.444045|9.000000,0.016309022903442383,9.0,4.548521|9.000000,4.548521|9.000000,9,121552486400.000000,N/A,5
MOGP_GENERATIONAL,c6a3383e-e7d1-11f0-a37d-6e001b3eef54,Cooling,74,19,4.444045|9.000000,0.016387939453125,9.0,4.548521|9.000000,4.548521|9.000000,9,49937321984.000000,N/A,5
MOGP_GENERATIONAL,c6a3383e-e7d1-11f0-a37d-6e001b3eef54,Cooling,74,20,4.444045|9.000000,0.015532970428466797,9.0,4.548521|9.000000,4.548521|9.000000,9,99498713088.000000,N/A,5
MOGP_GENERATIONAL,c6a3383e-e7d1-11f0-a37d-6e001b3eef54,Cooling,74,21,4.444045|9.000000,0.016913890838623047,9.0,4.548521|9.000000,4.548521|9.000000,9,99520872448.000000,N/A,5
MOGP_GENERATIONAL,c6a3383e-e7d1-11f0-a37d-6e001b3eef54,Cooling,74,22,4.444045|9.000000,0.016323089599609375,9.0,4.548521|9.000000,4.548521|9.000000,9,101726732288.000000,N/A,5
MOGP_GENERATIONAL,c6a3383e-e7d1-11f0-a37d-6e001b3eef54,Cooling,74,23,4.444045|9.000000,0.015342950820922852,9.0,4.548521|9.000000,4.548521|9.000000,9,52554555392.000000,N/A,5
MOGP_GENERATIONAL,c6a3383e-e7d1-11f0-a37d-6e001b3eef54,Cooling,74,24,4.444045|9.000000,0.01807403564453125,9.0,4.548521|9.000000,4.548521|9.000000,9,90367172608.000000,N/A,5
MOGP_GENERATIONAL,c6a3383e-e7d1-11f0-a37d-6e001b3eef54,Cooling,74,25,4.444045|9.000000,0.01686882972717285,9.0,4.548521|9.000000,4.548521|9.000000,9,120980029440.000000,N/A,5
