MOGP_GENERATIONAL,a0ba92fa-ed8c-11f0-8f49-6e001b3eef54,Cooling,74,0,9.423391|3.000000|0.000000,1.2537295818328857,3.0,9.757966|3.000000|0.000000,N/A,N/A,0,244741570560.000000,9.423391|3.000000|0.000000,5
MOGP_GENERATIONAL,a0ba92fa-ed8c-11f0-8f49-6e001b3eef54,Cooling,74,1,9.423391|3.000000|0.000000,0.040612220764160156,3.0,9.757966|3.000000|0.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,90602446848.000000,9.423391|3.000000|0.000000,5
MOGP_GENERATIONAL,a0ba92fa-ed8c-11f0-8f49-6e001b3eef54,Cooling,74,2,9.402564|3.000000|0.000000,0.03891921043395996,3.0,9.774756|3.000000|0.000000,8.502098|3.000000|1.000000,7.953696|3.000000|1.000000,3,72535318528.000000,9.423391|3.000000|0.000000,5
MOGP_GENERATIONAL,a0ba92fa-ed8c-11f0-8f49-6e001b3eef54,Cooling,74,3,9.402564|3.000000|0.000000,0.03718924522399902,3.0,9.774756|3.000000|0.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,94122999808.000000,9.423391|3.000000|0.000000,5
MOGP_GENERATIONAL,a0ba92fa-ed8c-11f0-8f49-6e001b3eef54,Cooling,74,4,9.402564|3.000000|0.000000,0.03118300437927246,3.0,9.774756|3.000000|0.000000,4.610571|9.000000|2.000000,4.395564|9.000000|2.000000,9,86277185536.000000,9.423391|3.000000|0.000000,5
MOGP_GENERATIONAL,a0ba92fa-ed8c-11f0-8f49-6e001b3eef54,Cooling,74,5,9.402564|3.000000|0.000000,0.030951261520385742,3.0,9.774756|3.000000|0.000000,9.402564|3.000000|0.000000,9.774756|3.000000|0.000000,3,108170895360.000000,9.423391|3.000000|0.000000,5
MOGP_GENERATIONAL,a0ba92fa-ed8c-11f0-8f49-6e001b3eef54,Cooling,74,6,9.402564|3.000000|0.000000,0.029790878295898438,3.0,9.774756|3.000000|0.000000,9.402564|3.000000|0.000000,9.774756|3.000000|0.000000,3,100276158464.000000,9.423391|3.000000|0.000000,5
MOGP_GENERATIONAL,a0ba92fa-ed8c-11f0-8f49-6e001b3eef54,Cooling,74,7,9.402564|3.000000|0.000000,0.030047178268432617,3.0,9.774756|3.000000|0.000000,7.777825|11.000000|3.000000,7.616212|11.000000|3.000000,11,81997725696.000000,9.423391|3.000000|0.000000,5
MOGP_GENERATIONAL,a0ba92fa-ed8c-11f0-8f49-6e001b3eef54,Cooling,74,8,9.402564|3.000000|0.000000,0.024291038513183594,3.0,9.774756|3.000000|0.000000,9.402564|3.000000|0.000000,9.774756|3.000000|0.000000,3,75527340032.000000,9.423391|3.000000|0.000000,5
MOGP_GENERATIONAL,a0ba92fa-ed8c-11f0-8f49-6e001b3eef54,Cooling,74,9,9.402564|3.000000|0.000000,0.03173470497131348,3.0,9.774756|3.000000|0.000000,8.502098|5.000000|2.000000,7.953696|5.000000|2.000000,5,99498696704.000000,9.423391|3.000000|0.000000,5
MOGP_GENERATIONAL,a0ba92fa-ed8c-11f0-8f49-6e001b3eef54,Cooling,74,10,9.402564|3.000000|0.000000,0.030094146728515625,3.0,9.774756|3.000000|0.000000,6.685935|5.000000|2.000000,6.452197|5.000000|2.000000,5,86275366912.000000,9.423391|3.000000|0.000000,5
