MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,0,9.551250|3.000000,0.8379170894622803,3.0,9.464571|3.000000,N/A,N/A,0,244384317440.000000,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,1,8.342588|3.000000,3.33227801322937,3.0,8.337112|3.000000,8.342588|3.000000,8.337112|3.000000,3,3.330921,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,2,8.342588|3.000000,3.2255301475524902,3.0,8.337112|3.000000,4.483564|19.000000,4.473833|19.000000,19,3.805813,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,3,4.554414|3.000000,3.164541006088257,3.0,4.529619|3.000000,4.483564|19.000000,4.473833|19.000000,19,3.453713,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,4,4.554414|3.000000,3.219001054763794,3.0,4.529619|3.000000,4.483564|19.000000,4.473833|19.000000,19,3.164207,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,5,4.554414|3.000000,3.2664880752563477,3.0,4.529619|3.000000,4.483564|19.000000,4.473833|19.000000,19,2.799972,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,6,4.554414|3.000000,3.3937127590179443,3.0,4.529619|3.000000,4.483564|19.000000,4.473833|19.000000,19,2.270340,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,7,4.554414|3.000000,3.5312180519104004,3.0,4.529619|3.000000,4.483564|19.000000,4.473833|19.000000,19,2.265430,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,8,4.554414|3.000000,3.572273015975952,3.0,4.529619|3.000000,4.483564|19.000000,4.473833|19.000000,19,2.150944,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,9,4.554414|3.000000,3.839646100997925,3.0,4.529619|3.000000,4.483564|19.000000,4.473833|19.000000,19,1.831611,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,10,4.554414|3.000000,4.218816041946411,3.0,4.529619|3.000000,4.376729|17.000000,4.355924|17.000000,17,1.011879,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,11,4.554414|3.000000,4.9786388874053955,3.0,4.529619|3.000000,4.376729|17.000000,4.355924|17.000000,17,0.008873,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,12,4.554414|3.000000,5.4798808097839355,3.0,4.529619|3.000000,4.376729|17.000000,4.355924|17.000000,17,0.008873,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,13,4.554414|3.000000,5.659477949142456,3.0,4.529619|3.000000,4.376729|17.000000,4.355924|17.000000,17,0.008873,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,14,4.554414|3.000000,5.351440906524658,3.0,4.529619|3.000000,4.376729|17.000000,4.355924|17.000000,17,0.012533,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,15,4.554414|3.000000,5.492771148681641,3.0,4.529619|3.000000,4.376729|15.000000,4.355924|15.000000,15,0.008873,N/A,5
