MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,11,8.478832|5.000000|1.000000,0.026328563690185547,5.0,9.156528|5.000000|1.000000,8.478832|5.000000|1.000000,9.156528|5.000000|1.000000,5,57406496768.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,12,8.478832|5.000000|1.000000,0.025996685028076172,5.0,9.156528|5.000000|1.000000,8.478832|5.000000|1.000000,9.156528|5.000000|1.000000,5,61341855744.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,13,8.478832|5.000000|1.000000,0.026173114776611328,5.0,9.156528|5.000000|1.000000,8.478832|5.000000|1.000000,9.156528|5.000000|1.000000,5,62735310848.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,14,8.478832|5.000000|1.000000,0.027210235595703125,5.0,9.156528|5.000000|1.000000,8.478832|5.000000|1.000000,9.156528|5.000000|1.000000,5,37455216640.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,15,8.478832|5.000000|1.000000,0.026144027709960938,5.0,9.156528|5.000000|1.000000,8.478832|5.000000|1.000000,9.156528|5.000000|1.000000,5,44014034944.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,16,8.478832|5.000000|1.000000,0.026292085647583008,5.0,9.156528|5.000000|1.000000,8.478832|5.000000|1.000000,9.156528|5.000000|1.000000,5,65533120512.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,17,8.478832|5.000000|1.000000,0.026787757873535156,5.0,9.156528|5.000000|1.000000,8.478832|5.000000|1.000000,9.156528|5.000000|1.000000,5,59211149312.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,18,8.478832|5.000000|1.000000,0.02626824378967285,5.0,9.156528|5.000000|1.000000,8.478832|5.000000|1.000000,9.156528|5.000000|1.000000,5,90427482112.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,19,8.478832|5.000000|1.000000,0.02623772621154785,5.0,9.156528|5.000000|1.000000,8.478832|5.000000|1.000000,9.156528|5.000000|1.000000,5,81339916288.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,20,8.478832|5.000000|1.000000,0.025566816329956055,5.0,9.156528|5.000000|1.000000,8.478832|5.000000|1.000000,9.156528|5.000000|1.000000,5,43093835776.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,21,7.037997|7.000000|2.000000,0.02726602554321289,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,74611556352.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,22,7.037997|7.000000|2.000000,0.026404857635498047,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,103968448512.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,23,7.037997|7.000000|2.000000,0.027041196823120117,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,49083768832.000000,N/A,2,5
