MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,11,4.477321|3.000000|1.000000,0.026228904724121094,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,29901514752.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,12,4.477321|3.000000|1.000000,0.02651238441467285,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,82167980032.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,13,4.477321|3.000000|1.000000,0.027199983596801758,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,86276890624.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,14,4.477321|3.000000|1.000000,0.026738405227661133,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,49180708864.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,15,4.477321|3.000000|1.000000,0.026972293853759766,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,121509847040.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,16,4.477321|3.000000|1.000000,0.026137590408325195,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,48539058176.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,17,4.477321|3.000000|1.000000,0.027328968048095703,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,149248278528.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,18,4.477321|3.000000|1.000000,0.02703380584716797,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,75391754240.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,19,4.477321|3.000000|1.000000,0.025999069213867188,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,86276816896.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,20,4.477321|3.000000|1.000000,0.026448965072631836,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,79160893440.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,21,4.477321|3.000000|1.000000,0.0273592472076416,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,88039301120.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,22,4.477321|3.000000|1.000000,0.027031421661376953,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,103044030464.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,23,4.477321|3.000000|1.000000,0.026827573776245117,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,93042622464.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,24,4.477321|3.000000|1.000000,0.027503252029418945,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,94189699072.000000,N/A,2,5
