MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,26,4.570655|3.000000|1.000000,0.02665400505065918,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,107116781568.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,27,4.570655|3.000000|1.000000,0.026875019073486328,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,55791771648.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,28,4.570655|3.000000|1.000000,0.026108980178833008,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,70533685248.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,29,4.570655|3.000000|1.000000,0.027607440948486328,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,113427267584.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,30,4.570655|3.000000|1.000000,0.02715134620666504,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,68918460416.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,31,4.570655|3.000000|1.000000,0.027872562408447266,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,82751438848.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,32,4.570655|3.000000|1.000000,0.026188135147094727,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,114788990976.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,33,4.570655|3.000000|1.000000,0.026299476623535156,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,51463557120.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,34,4.570655|3.000000|1.000000,0.026580333709716797,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,109927579648.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,35,4.570655|3.000000|1.000000,0.02798604965209961,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,111662948352.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,36,4.570655|3.000000|1.000000,0.02671527862548828,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,73401999360.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,37,4.570655|3.000000|1.000000,0.02658867835998535,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,100079345664.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,38,4.570655|3.000000|1.000000,0.026277542114257812,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,99498639360.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,39,4.570655|3.000000|1.000000,0.026205778121948242,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,94061666304.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,40,4.570655|3.000000|1.000000,0.026917219161987305,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,141669728256.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,41,4.570655|3.000000|1.000000,0.02630019187927246,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,139993661440.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,42,4.570655|3.000000|1.000000,0.026755332946777344,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,94569873408.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,43,4.570655|3.000000|1.000000,0.026690244674682617,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,101187747840.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,44,4.570655|3.000000|1.000000,0.025726795196533203,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,57915031552.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,45,4.570655|3.000000|1.000000,0.02631235122680664,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,131013607424.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,46,4.570655|3.000000|1.000000,0.02747821807861328,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,120675164160.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,47,4.570655|3.000000|1.000000,0.02657771110534668,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,97699241984.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,48,4.570655|3.000000|1.000000,0.027415752410888672,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,98778259456.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,49,4.570655|3.000000|1.000000,0.027013301849365234,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,119695687680.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,50,4.570655|3.000000|1.000000,0.0265653133392334,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,83502997504.000000,N/A,2,5
