MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,23,2194.079834|3.000000|0.000000,0.029455184936523438,3.0,1805.730347|3.000000|0.000000,2194.079834|3.000000|0.000000,1805.730347|3.000000|0.000000,3,53129863168.000000,N/A,1,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,24,2194.079834|3.000000|0.000000,0.028749465942382812,3.0,1805.730347|3.000000|0.000000,2194.079834|3.000000|0.000000,1805.730347|3.000000|0.000000,3,66703503360.000000,N/A,1,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,25,2194.079834|3.000000|0.000000,0.029384136199951172,3.0,1805.730347|3.000000|0.000000,2194.079834|3.000000|0.000000,1805.730347|3.000000|0.000000,3,70177226752.000000,N/A,1,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,26,2194.079834|3.000000|0.000000,0.027475595474243164,3.0,1805.730347|3.000000|0.000000,2194.079834|3.000000|0.000000,1805.730347|3.000000|0.000000,3,7369.742676,N/A,1,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,27,2194.079834|3.000000|0.000000,0.029361963272094727,3.0,1805.730347|3.000000|0.000000,2194.079834|3.000000|0.000000,1805.730347|3.000000|0.000000,3,51494060032.000000,N/A,1,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,28,2194.079834|3.000000|0.000000,0.029277324676513672,3.0,1805.730347|3.000000|0.000000,2194.079834|3.000000|0.000000,1805.730347|3.000000|0.000000,3,82556239872.000000,N/A,1,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,29,2194.079834|3.000000|0.000000,0.02920246124267578,3.0,1805.730347|3.000000|0.000000,2194.079834|3.000000|0.000000,1805.730347|3.000000|0.000000,3,74837729280.000000,N/A,1,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,30,2194.079834|3.000000|0.000000,0.028109312057495117,3.0,1805.730347|3.000000|0.000000,2194.079834|3.000000|0.000000,1805.730347|3.000000|0.000000,3,41570545664.000000,N/A,1,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,31,2194.079834|3.000000|0.000000,0.027870893478393555,3.0,1805.730347|3.000000|0.000000,2194.079834|3.000000|0.000000,1805.730347|3.000000|0.000000,3,57887502336.000000,N/A,1,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,32,2194.079834|3.000000|0.000000,0.028349876403808594,3.0,1805.730347|3.000000|0.000000,2194.079834|3.000000|0.000000,1805.730347|3.000000|0.000000,3,78329610240.000000,N/A,1,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,33,2194.079834|3.000000|0.000000,0.02967691421508789,3.0,1805.730347|3.000000|0.000000,2194.079834|3.000000|0.000000,1805.730347|3.000000|0.000000,3,87276953600.000000,N/A,1,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,34,2194.079834|3.000000|0.000000,0.02941274642944336,3.0,1805.730347|3.000000|0.000000,2194.079834|3.000000|0.000000,1805.730347|3.000000|0.000000,3,68069789696.000000,N/A,1,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,35,2194.079834|3.000000|0.000000,0.029033899307250977,3.0,1805.730347|3.000000|0.000000,2194.079834|3.000000|0.000000,1805.730347|3.000000|0.000000,3,51856605184.000000,N/A,1,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,36,2194.079834|3.000000|0.000000,0.030387163162231445,3.0,1805.730347|3.000000|0.000000,2194.079834|3.000000|0.000000,1805.730347|3.000000|0.000000,3,51553161216.000000,N/A,1,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,37,2194.079834|3.000000|0.000000,0.02917170524597168,3.0,1805.730347|3.000000|0.000000,2194.079834|3.000000|0.000000,1805.730347|3.000000|0.000000,3,68033118208.000000,N/A,1,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,38,2194.079834|3.000000|0.000000,0.028616905212402344,3.0,1805.730347|3.000000|0.000000,2194.079834|3.000000|0.000000,1805.730347|3.000000|0.000000,3,44393304064.000000,N/A,1,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,39,2194.079834|3.000000|0.000000,0.029067277908325195,3.0,1805.730347|3.000000|0.000000,2194.079834|3.000000|0.000000,1805.730347|3.000000|0.000000,3,83322560512.000000,N/A,1,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,40,2161.450439|15.000000|2.000000,0.02772068977355957,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,91103444992.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,41,2161.450439|15.000000|2.000000,0.029120445251464844,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,33967988.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,42,2161.450439|15.000000|2.000000,0.03128862380981445,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,114328674304.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,43,2161.450439|15.000000|2.000000,0.02813267707824707,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,59123044352.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,44,2161.450439|15.000000|2.000000,0.029262304306030273,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,19773190144.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,45,2161.450439|15.000000|2.000000,0.030457258224487305,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,65447370752.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,46,2161.450439|15.000000|2.000000,0.02908158302307129,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,78134665216.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,47,2161.450439|15.000000|2.000000,0.030950546264648438,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,76773113856.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,48,2161.450439|15.000000|2.000000,0.02906179428100586,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,95002304.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,49,2161.450439|15.000000|2.000000,0.02991461753845215,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,35461758976.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,50,2161.450439|15.000000|2.000000,0.029944181442260742,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,81976172544.000000,N/A,2,5
