MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,0,10.019363|3.000000,0.768082857131958,3.0,10.284841|3.000000,10.284841|3.000000,3,243624722432.000000,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,1,10.019363|3.000000,3.199554920196533,3.0,10.284841|3.000000,10.749463|5.000000,5,3.061541,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,2,9.784774|3.000000,3.114311933517456,3.0,10.667852|3.000000,10.667852|3.000000,3,3.086948,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,3,9.784774|3.000000,3.083467960357666,3.0,10.667852|3.000000,10.667852|3.000000,3,2.586564,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,4,9.346452|3.000000,3.1624040603637695,3.0,9.205783|3.000000,9.205783|3.000000,3,1.954878,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,5,9.346452|3.000000,3.1637160778045654,3.0,9.205783|3.000000,9.205783|3.000000,3,1.139976,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,6,9.346452|3.000000,3.0994558334350586,3.0,9.205783|3.000000,9.205783|3.000000,3,0.531249,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,7,9.346452|3.000000,3.1791489124298096,3.0,9.205783|3.000000,9.205783|3.000000,3,0.398667,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,8,9.346452|3.000000,3.213162899017334,3.0,9.205783|3.000000,9.205783|3.000000,3,0.240301,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,9,9.346452|3.000000,3.340801954269409,3.0,9.205783|3.000000,9.205783|3.000000,3,0.112347,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,10,9.346452|3.000000,3.5497519969940186,3.0,9.205783|3.000000,9.205783|3.000000,3,0.090227,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,11,9.346452|3.000000,3.6493067741394043,3.0,9.205783|3.000000,9.205783|3.000000,3,0.089505,N/A,5
