MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,29,8.861488|3.000000|1.000000,0.026494503021240234,3.0,8.269738|3.000000|1.000000,8.861488|3.000000|1.000000,8.269738|3.000000|1.000000,3,97873117184.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,30,8.448865|7.000000|1.000000,0.02754664421081543,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,100600037376.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,31,8.448865|7.000000|1.000000,0.02593064308166504,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,55278039040.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,32,8.448865|7.000000|1.000000,0.026319503784179688,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,57803022336.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,33,8.448865|7.000000|1.000000,0.02690744400024414,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,84550041600.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,34,8.448865|7.000000|1.000000,0.02634906768798828,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,74680180736.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,35,8.448865|7.000000|1.000000,0.02611684799194336,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,70751518720.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,36,8.448865|7.000000|1.000000,0.0277557373046875,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,71077314560.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,37,8.448865|7.000000|1.000000,0.026404380798339844,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,45018320896.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,38,8.448865|7.000000|1.000000,0.025387287139892578,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,75522875392.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,39,8.448865|7.000000|1.000000,0.0265655517578125,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,61701836800.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,40,8.448865|7.000000|1.000000,0.025741100311279297,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,73669263360.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,41,8.448865|7.000000|1.000000,0.026859283447265625,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,98764070912.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,42,8.448865|7.000000|1.000000,0.026259660720825195,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,102712541184.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,43,8.448865|7.000000|1.000000,0.0273892879486084,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,61708529664.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,44,8.448865|7.000000|1.000000,0.026924610137939453,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,105175711744.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,45,8.448865|7.000000|1.000000,0.026760101318359375,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,66728902656.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,46,8.448865|7.000000|1.000000,0.027128934860229492,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,102270124032.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,47,8.448865|7.000000|1.000000,0.026868104934692383,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,99333963776.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,48,8.448865|7.000000|1.000000,0.026539325714111328,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,29530949632.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,49,8.448865|7.000000|1.000000,0.026683568954467773,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,108508389376.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,50,8.448865|7.000000|1.000000,0.026909589767456055,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,92298002432.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,51,8.448865|7.000000|1.000000,0.026677846908569336,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,70184402944.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,52,8.448865|7.000000|1.000000,0.026294231414794922,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,49935335424.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,53,8.448865|7.000000|1.000000,0.027092933654785156,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,78636826624.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,54,8.448865|7.000000|1.000000,0.026308536529541016,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,30383403008.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,55,8.448865|7.000000|1.000000,0.02528691291809082,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,2656100864.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,56,8.448865|7.000000|1.000000,0.027222156524658203,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,94067359744.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,57,8.448865|7.000000|1.000000,0.026422500610351562,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,106844790784.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,58,8.448865|7.000000|1.000000,0.027021169662475586,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,102255280128.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,59,8.448865|7.000000|1.000000,0.027427196502685547,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,75708030976.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,60,8.448865|7.000000|1.000000,0.026324748992919922,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,72463532032.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,61,8.448865|7.000000|1.000000,0.026721715927124023,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,83860938752.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,62,8.448865|7.000000|1.000000,0.026516199111938477,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,71150804992.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,63,8.448865|7.000000|1.000000,0.02693653106689453,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,90083639296.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,64,8.448865|7.000000|1.000000,0.026587724685668945,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,81596399616.000000,N/A,2,5
