=== Stats: Boston (3_Objs) ===
Scenario  NSGA-II_Pure  NT_1st_Obj_Elitism  NT_NSGA-II
count        15.000000           15.000000   15.000000
mean          7.081780            7.448195    7.330634
std           0.793695            0.778157    0.526839
min           5.942956            6.177087    6.493391
25%           6.601976            6.900216    7.071702
50%           6.918225            7.377818    7.311094
75%           7.345027            7.943436    7.491777
max           8.719369            8.822909    8.428527

Friedman Test:
Statistic: 1.3684, p-value: 0.504488
