MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,0,9.490594|3.000000|0.000000|0.000000|0.000000,1.181974172592163,3.0,9.605369|3.000000|0.000000|0.000000|0.000000,9.605369|3.000000|0.000000|0.000000|0.000000,3,244205207552.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,1,4.365190|3.000000|1.000000|0.000000|0.000000,0.05608010292053223,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,106531856384.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,2,4.365190|3.000000|1.000000|0.000000|0.000000,0.05544686317443848,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,91301388288.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,3,4.365190|3.000000|1.000000|0.000000|0.000000,0.05405902862548828,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,71720837120.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,4,4.365190|3.000000|1.000000|0.000000|0.000000,0.05450701713562012,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,85470126080.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,5,4.365190|3.000000|1.000000|0.000000|0.000000,0.054232120513916016,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,102072778752.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,6,4.365190|3.000000|1.000000|0.000000|0.000000,0.05623292922973633,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,113244258304.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,7,4.365190|3.000000|1.000000|0.000000|0.000000,0.052546024322509766,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,82472624128.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,8,4.365190|3.000000|1.000000|0.000000|0.000000,0.05331778526306152,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,64419147776.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,9,4.365190|3.000000|1.000000|0.000000|0.000000,0.05296778678894043,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,82051276800.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,10,4.365190|3.000000|1.000000|0.000000|0.000000,0.05373692512512207,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,60345540608.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,11,4.365190|3.000000|1.000000|0.000000|0.000000,0.056001901626586914,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,126044921856.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,12,4.365190|3.000000|1.000000|0.000000|0.000000,0.0534977912902832,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,109435461632.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,13,4.365190|3.000000|1.000000|0.000000|0.000000,0.05224418640136719,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,49937469440.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,14,4.365190|3.000000|1.000000|0.000000|0.000000,0.0533599853515625,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,68099788800.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,15,4.365190|3.000000|1.000000|0.000000|0.000000,0.05396294593811035,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,48522526720.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,16,4.365190|3.000000|1.000000|0.000000|0.000000,0.05430316925048828,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,71473127424.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,17,4.365190|3.000000|1.000000|0.000000|0.000000,0.054525136947631836,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,73971097600.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,18,4.365190|3.000000|1.000000|0.000000|0.000000,0.05331301689147949,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,70533685248.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,19,4.365190|3.000000|1.000000|0.000000|0.000000,0.05249381065368652,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,1825.440796,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,20,4.365190|3.000000|1.000000|0.000000|0.000000,0.05290675163269043,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,78605590528.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,21,4.365190|3.000000|1.000000|0.000000|0.000000,0.05363798141479492,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,88641880064.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,22,4.365190|3.000000|1.000000|0.000000|0.000000,0.052583932876586914,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,58239004672.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,23,4.365190|3.000000|1.000000|0.000000|0.000000,0.05271005630493164,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,49937469440.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,24,4.365190|3.000000|1.000000|0.000000|0.000000,0.05338478088378906,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,96045793280.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,25,4.365190|3.000000|1.000000|0.000000|0.000000,0.05291914939880371,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,102417588224.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,26,4.365190|3.000000|1.000000|0.000000|0.000000,0.05560016632080078,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,86462365696.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,27,4.365190|3.000000|1.000000|0.000000|0.000000,0.05475592613220215,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,69163212800.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,28,4.365190|3.000000|1.000000|0.000000|0.000000,0.0531160831451416,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,34947588096.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,29,4.365190|3.000000|1.000000|0.000000|0.000000,0.05285000801086426,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,49937469440.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,30,4.365190|3.000000|1.000000|0.000000|0.000000,0.05371594429016113,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,626087040.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,31,4.365190|3.000000|1.000000|0.000000|0.000000,0.05285501480102539,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,79554781184.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,32,4.365190|3.000000|1.000000|0.000000|0.000000,0.05364108085632324,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,75955986432.000000,N/A,5
MOGP_GENERATIONAL,d39941aa-e830-11f0-a37d-6e001b3eef54,Cooling,74,33,4.365190|3.000000|1.000000|0.000000|0.000000,0.05216217041015625,3.0,4.943788|3.000000|1.000000|0.000000|0.000000,4.943788|3.000000|1.000000|0.000000|0.000000,3,106907934720.000000,N/A,5
