MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,23,4.518628|3.000000|1.000000,0.02670764923095703,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,93264273408.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,24,4.518628|3.000000|1.000000,0.027390480041503906,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,94499643392.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,25,4.518628|3.000000|1.000000,0.026264667510986328,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,92332220416.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,26,4.518628|3.000000|1.000000,0.026871681213378906,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,107171799040.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,27,4.518628|3.000000|1.000000,0.02674078941345215,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,55583961088.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,28,4.518628|3.000000|1.000000,0.02588820457458496,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,70533685248.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,29,4.518628|3.000000|1.000000,0.02778148651123047,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,113286094848.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,30,4.518628|3.000000|1.000000,0.02712249755859375,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,68910743552.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,31,4.518628|3.000000|1.000000,0.02741265296936035,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,82639781888.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,32,4.518628|3.000000|1.000000,0.02622389793395996,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,114951512064.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,33,4.518628|3.000000|1.000000,0.026205778121948242,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,51454713856.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,34,4.518628|3.000000|1.000000,0.026473522186279297,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,109788061696.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,35,4.518628|3.000000|1.000000,0.02804255485534668,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,111803301888.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,36,4.518628|3.000000|1.000000,0.026479482650756836,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,73281273856.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,37,4.518628|3.000000|1.000000,0.02628803253173828,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,96370376704.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,38,4.518628|3.000000|1.000000,0.02652716636657715,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,103078289408.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,39,4.518628|3.000000|1.000000,0.026038646697998047,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,93914513408.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,40,4.518628|3.000000|1.000000,0.02677130699157715,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,135098114048.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,41,4.518628|3.000000|1.000000,0.02646946907043457,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,146244091904.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,42,4.518628|3.000000|1.000000,0.02660536766052246,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,87741202432.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,43,4.518628|3.000000|1.000000,0.026633501052856445,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,103998914560.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,44,4.518628|3.000000|1.000000,0.025821208953857422,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,58409091072.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,45,4.518628|3.000000|1.000000,0.026463031768798828,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,130996166656.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,46,4.518628|3.000000|1.000000,0.02726268768310547,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,120649007104.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,47,4.518628|3.000000|1.000000,0.026828527450561523,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,97557643264.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,48,4.518628|3.000000|1.000000,0.027222156524658203,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,98731573248.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,49,4.518628|3.000000|1.000000,0.027097463607788086,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,119952859136.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,50,4.518628|3.000000|1.000000,0.026630401611328125,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,83626655744.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,51,4.518628|3.000000|1.000000,0.027220726013183594,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,104263114752.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,52,4.518628|3.000000|1.000000,0.0274503231048584,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,86659227648.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,53,4.518628|3.000000|1.000000,0.06311392784118652,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,111099666432.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,54,4.518628|3.000000|1.000000,0.027044296264648438,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,96412893184.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,55,4.518628|3.000000|1.000000,0.026182174682617188,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,92921339904.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,56,4.518628|3.000000|1.000000,0.02769303321838379,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,91363762176.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,57,4.518628|3.000000|1.000000,0.026985883712768555,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,127546613760.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,58,4.518628|3.000000|1.000000,0.027541160583496094,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,121551273984.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,59,4.518628|3.000000|1.000000,0.026921510696411133,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,82127085568.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,60,4.518628|3.000000|1.000000,0.026880502700805664,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,125393207296.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,61,4.518628|3.000000|1.000000,0.026433467864990234,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,79943663616.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,62,4.518628|3.000000|1.000000,0.026520729064941406,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,22791153664.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,63,4.518628|3.000000|1.000000,0.026940107345581055,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,99518029824.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,64,4.518628|3.000000|1.000000,0.026495933532714844,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,82894209024.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,65,4.518628|3.000000|1.000000,0.026239871978759766,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,85388345344.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,66,4.518628|3.000000|1.000000,0.026282072067260742,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,79943655424.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,67,4.518628|3.000000|1.000000,0.026491403579711914,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,94234017792.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,68,4.518628|3.000000|1.000000,0.026753902435302734,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,100763770880.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,69,4.518628|3.000000|1.000000,0.026805400848388672,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,95952928768.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,70,4.518628|3.000000|1.000000,0.027798175811767578,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,128216178688.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,71,4.518628|3.000000|1.000000,0.026194095611572266,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,126587092992.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,72,4.518628|3.000000|1.000000,0.026067733764648438,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,73910419456.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,73,4.518628|3.000000|1.000000,0.026247501373291016,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,117180014592.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,74,4.518628|3.000000|1.000000,0.028052330017089844,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,76295290880.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,75,4.518628|3.000000|1.000000,0.025836706161499023,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,78983970816.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,76,4.518628|3.000000|1.000000,0.02650737762451172,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,140000018432.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,77,4.518628|3.000000|1.000000,0.027380704879760742,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,121930153984.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,78,4.518628|3.000000|1.000000,0.028171539306640625,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,127101526016.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,79,4.518628|3.000000|1.000000,0.02703380584716797,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,95577128960.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,80,4.518628|3.000000|1.000000,0.027634382247924805,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,102081372160.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,81,4.518628|3.000000|1.000000,0.026370525360107422,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,108968116224.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,82,4.518628|3.000000|1.000000,0.026767969131469727,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,70533423104.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,83,4.518628|3.000000|1.000000,0.027513980865478516,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,86277185536.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,84,4.518628|3.000000|1.000000,0.026993989944458008,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,106405322752.000000,N/A,2,5
