MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,35,7.957284|7.000000|1.000000,0.025880813598632812,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,100092911616.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,36,7.957284|7.000000|1.000000,0.027077913284301758,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,74166861824.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,37,7.957284|7.000000|1.000000,0.026384353637695312,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,93674856448.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,38,7.957284|7.000000|1.000000,0.025846242904663086,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,90272104448.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,39,7.957284|7.000000|1.000000,0.026558399200439453,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,88513290240.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,40,7.957284|7.000000|1.000000,0.0257565975189209,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,26026731520.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,41,7.957284|7.000000|1.000000,0.026654958724975586,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,59120828416.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,42,7.957284|7.000000|1.000000,0.026079416275024414,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,37016752128.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,43,7.957284|7.000000|1.000000,0.027406930923461914,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,97723154432.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,44,7.957284|7.000000|1.000000,0.02651047706604004,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,91879055360.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,45,7.957284|7.000000|1.000000,0.0266573429107666,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,115550691328.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,46,7.957284|7.000000|1.000000,0.0271148681640625,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,105614606336.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,47,7.957284|7.000000|1.000000,0.026890039443969727,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,49937391616.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,48,7.957284|7.000000|1.000000,0.025969743728637695,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,72721965056.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,49,7.957284|7.000000|1.000000,0.02705526351928711,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,78456414208.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,50,7.957284|7.000000|1.000000,0.026447057723999023,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,74636050432.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,51,7.957284|7.000000|1.000000,0.0265805721282959,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,100059406336.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,52,7.957284|7.000000|1.000000,0.025821924209594727,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,72042586112.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,53,7.957284|7.000000|1.000000,0.026463985443115234,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,96988561408.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,54,7.957284|7.000000|1.000000,0.026576519012451172,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,114251849728.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,55,7.957284|7.000000|1.000000,0.025047779083251953,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,42350448640.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,56,7.957284|7.000000|1.000000,0.02746415138244629,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,59167760384.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,57,7.957284|7.000000|1.000000,0.026118040084838867,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,76688875520.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,58,7.957284|7.000000|1.000000,0.026891469955444336,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,5934851072.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,59,7.957284|7.000000|1.000000,0.027378320693969727,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,78524203008.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,60,7.957284|7.000000|1.000000,0.026057720184326172,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,94828077056.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,61,7.957284|7.000000|1.000000,0.026387691497802734,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,71841628160.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,62,7.957284|7.000000|1.000000,0.02634286880493164,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,80843743232.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,63,7.957284|7.000000|1.000000,0.026906251907348633,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,89543966720.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,64,7.957284|7.000000|1.000000,0.026913881301879883,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,71387299840.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,65,7.957284|7.000000|1.000000,0.026034832000732422,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,73571164160.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,66,7.957284|7.000000|1.000000,0.02620983123779297,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,37673410560.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,67,7.957284|7.000000|1.000000,0.026230812072753906,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,86147334144.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,68,7.957284|7.000000|1.000000,0.02621769905090332,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,123042930688.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,69,7.957284|7.000000|1.000000,0.026317834854125977,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,91973255168.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,70,7.957284|7.000000|1.000000,0.027088403701782227,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,73768435712.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,71,7.957284|7.000000|1.000000,0.026830434799194336,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,109421330432.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,72,7.957284|7.000000|1.000000,0.02530694007873535,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,63211266048.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,73,7.957284|7.000000|1.000000,0.02681565284729004,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,121220612096.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,74,7.957284|7.000000|1.000000,0.027608394622802734,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,76116041728.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,75,7.957284|7.000000|1.000000,0.025926589965820312,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,85891375104.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,76,7.957284|7.000000|1.000000,0.02558612823486328,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,102487736320.000000,N/A,2,5
