MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,49,4.610571|3.000000,5.163219928741455,3.0,4.395564|3.000000,4.395564|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,50,4.610571|3.000000,4.907174825668335,3.0,4.395564|3.000000,4.395564|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,51,4.610571|3.000000,5.276371955871582,3.0,4.395564|3.000000,4.395564|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,52,4.610571|3.000000,5.063126087188721,3.0,4.395564|3.000000,4.395564|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,53,4.610571|3.000000,5.277069807052612,3.0,4.395564|3.000000,4.395564|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,54,4.610571|3.000000,5.318878889083862,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,55,4.610571|3.000000,5.329785108566284,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,56,4.610571|3.000000,5.205138921737671,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,57,4.610571|3.000000,5.112793922424316,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,58,4.610571|3.000000,5.224285125732422,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,59,4.610571|3.000000,5.425842046737671,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,60,4.610571|3.000000,5.180888652801514,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,61,4.610571|3.000000,5.212444067001343,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,62,4.610571|3.000000,5.251949071884155,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,63,4.610571|3.000000,5.262909889221191,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,64,4.610571|3.000000,5.249030113220215,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,65,4.610571|3.000000,5.250132322311401,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,66,4.610571|3.000000,5.3106091022491455,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,67,4.610571|3.000000,5.227665901184082,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,68,4.610571|3.000000,5.0601160526275635,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,69,4.610571|3.000000,5.212430000305176,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,70,4.610571|3.000000,5.103307008743286,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,71,4.610571|3.000000,5.191911220550537,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,72,4.610571|3.000000,5.029094219207764,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,73,4.610571|3.000000,5.251842021942139,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,74,4.610571|3.000000,5.156424045562744,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,75,4.610571|3.000000,5.290773153305054,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,76,4.610571|3.000000,5.33367395401001,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,77,4.610571|3.000000,5.260401248931885,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,78,4.610571|3.000000,5.296092987060547,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,79,4.610571|3.000000,5.246690034866333,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,80,4.610571|3.000000,5.037041187286377,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,81,4.610571|3.000000,5.255825996398926,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,82,4.610571|3.000000,5.211955785751343,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,83,4.610571|3.000000,5.143826007843018,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,84,4.610571|3.000000,5.215057134628296,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,85,4.610571|3.000000,5.021207809448242,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,86,4.610571|3.000000,5.020816087722778,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,87,4.610571|3.000000,5.168894290924072,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,88,4.610571|3.000000,5.096847772598267,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,89,4.610571|3.000000,5.31029200553894,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,90,4.610571|3.000000,5.254241943359375,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,91,4.610571|3.000000,5.185621976852417,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,92,4.610571|3.000000,5.131314992904663,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,93,4.610571|3.000000,5.102313995361328,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,94,4.610571|3.000000,5.32119083404541,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,95,4.610571|3.000000,5.232815742492676,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,96,4.610571|3.000000,5.06890606880188,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,97,4.610571|3.000000,5.124288082122803,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,98,4.610571|3.000000,5.22888708114624,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,99,4.610571|3.000000,5.060382843017578,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,100,4.610571|3.000000,5.151486873626709,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,101,4.610571|3.000000,5.229480028152466,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,102,4.610571|3.000000,5.22978401184082,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
