MOGP_NSGAII,45b49f22-e6fc-11f0-b717-6e001b3eef54,Boston,74,0,19.999741|3.000000|0.000000,0.907717227935791,3.0,19.307762|3.000000|0.000000,19.307762|3.000000|0.000000,3,243397705728.000000,N/A,5
MOGP_NSGAII,45b49f22-e6fc-11f0-b717-6e001b3eef54,Boston,74,1,10.775668|3.000000|0.000000,3.6038689613342285,3.0,10.493112|3.000000|0.000000,8.229465|3.000000|2.000000,3,19505.296875,N/A,5
MOGP_NSGAII,45b49f22-e6fc-11f0-b717-6e001b3eef54,Boston,74,2,10.466077|3.000000|0.000000,3.4548940658569336,3.0,9.711638|3.000000|0.000000,8.229465|3.000000|2.000000,3,19505.380859,N/A,5
MOGP_NSGAII,45b49f22-e6fc-11f0-b717-6e001b3eef54,Boston,74,3,10.466077|3.000000|0.000000,3.4676079750061035,3.0,9.711638|3.000000|0.000000,8.229465|3.000000|2.000000,3,20356.027344,N/A,5
MOGP_NSGAII,45b49f22-e6fc-11f0-b717-6e001b3eef54,Boston,74,4,9.651018|3.000000|0.000000,3.5215070247650146,3.0,9.185236|3.000000|0.000000,8.229465|3.000000|2.000000,3,4.604965,N/A,5
MOGP_NSGAII,45b49f22-e6fc-11f0-b717-6e001b3eef54,Boston,74,5,9.651018|3.000000|0.000000,3.5668301582336426,3.0,9.185236|3.000000|0.000000,8.229465|3.000000|2.000000,3,2.216902,N/A,5
MOGP_NSGAII,45b49f22-e6fc-11f0-b717-6e001b3eef54,Boston,74,6,9.651018|3.000000|0.000000,3.6629059314727783,3.0,9.185236|3.000000|0.000000,8.229465|3.000000|2.000000,3,1.350794,N/A,5
MOGP_NSGAII,45b49f22-e6fc-11f0-b717-6e001b3eef54,Boston,74,7,9.651018|3.000000|0.000000,3.646775007247925,3.0,9.185236|3.000000|0.000000,8.288593|5.000000|2.000000,5,0.988851,N/A,5
MOGP_NSGAII,45b49f22-e6fc-11f0-b717-6e001b3eef54,Boston,74,8,9.651018|3.000000|0.000000,3.7198128700256348,3.0,9.185236|3.000000|0.000000,7.893675|5.000000|2.000000,5,0.736340,N/A,5
MOGP_NSGAII,45b49f22-e6fc-11f0-b717-6e001b3eef54,Boston,74,9,9.651018|3.000000|0.000000,3.7855098247528076,3.0,9.185236|3.000000|0.000000,7.893675|5.000000|2.000000,5,0.653220,N/A,5
MOGP_NSGAII,45b49f22-e6fc-11f0-b717-6e001b3eef54,Boston,74,10,9.651018|3.000000|0.000000,3.9819629192352295,3.0,9.185236|3.000000|0.000000,7.893675|5.000000|2.000000,5,0.557059,N/A,5
