=== Stats: Toxicity (3_Objs) ===
Scenario  NSGA-II_Pure  NT_1st_Obj_Elitism   NT_NSGA-II
count        10.000000           10.000000    10.000000
mean       2020.794507         1985.599768  2038.453210
std         194.609196          182.421000   162.157940
min        1763.649414         1654.573120  1805.730469
25%        1847.846253         1883.804200  1927.517364
50%        2016.550354         1990.296570  1994.709351
75%        2138.017944         2098.469726  2133.481812
max        2331.661865         2239.541016  2331.661865

Friedman Test:
Statistic: 5.8919, p-value: 0.052552
