MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,0,10.400187|3.000000,0.8105678558349609,3.0,9.363091|3.000000,9.363091|3.000000,3,243317735424.000000,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,1,10.400187|3.000000,3.360664129257202,3.0,9.363091|3.000000,10.838197|5.000000,5,3.052188,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,2,10.400187|3.000000,3.2038540840148926,3.0,9.363091|3.000000,10.838197|5.000000,5,3.144421,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,3,10.400187|3.000000,3.1943418979644775,3.0,9.363091|3.000000,10.838197|5.000000,5,2.399231,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,4,10.242568|3.000000,3.269213914871216,3.0,9.615109|3.000000,10.838197|5.000000,5,1.957281,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,5,10.242568|3.000000,3.290720224380493,3.0,9.615109|3.000000,10.838197|5.000000,5,0.990460,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,6,8.243773|3.000000,3.2704520225524902,3.0,7.222734|3.000000,7.222734|3.000000,3,0.503200,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,7,8.243773|3.000000,3.3015339374542236,3.0,7.222734|3.000000,7.222734|3.000000,3,0.380539,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,8,8.243773|3.000000,3.355520009994507,3.0,7.222734|3.000000,7.222734|3.000000,3,0.264738,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,9,8.243773|3.000000,3.559262990951538,3.0,7.222734|3.000000,7.222734|3.000000,3,0.176000,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,10,8.243773|3.000000,4.36641788482666,3.0,7.222734|3.000000,7.222734|3.000000,3,0.165314,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,11,8.243773|3.000000,5.844911813735962,3.0,7.222734|3.000000,7.222734|3.000000,3,0.166142,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,12,8.243773|3.000000,5.508999824523926,3.0,7.222734|3.000000,7.222734|3.000000,3,0.173679,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,13,8.243773|3.000000,4.885077953338623,3.0,7.222734|3.000000,7.222734|3.000000,3,0.178311,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,14,8.243773|3.000000,4.550544261932373,3.0,7.222734|3.000000,7.222734|3.000000,3,0.175096,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,15,8.243773|3.000000,4.446685791015625,3.0,7.222734|3.000000,7.222734|3.000000,3,0.171979,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,16,8.243773|3.000000,5.240775108337402,3.0,7.222734|3.000000,7.222734|3.000000,3,0.171979,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,17,8.243773|3.000000,5.325913906097412,3.0,7.222734|3.000000,7.222734|3.000000,3,0.171979,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,18,8.243773|3.000000,5.323139190673828,3.0,7.222734|3.000000,7.222734|3.000000,3,0.171979,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,19,8.243773|3.000000,5.305060863494873,3.0,7.222734|3.000000,7.222734|3.000000,3,0.171979,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,20,8.243773|3.000000,5.2414391040802,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,21,8.243773|3.000000,5.334172964096069,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,22,8.243773|3.000000,5.324115991592407,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,23,8.243773|3.000000,5.350021839141846,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,24,8.243773|3.000000,5.43659520149231,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,25,8.243773|3.000000,5.222039699554443,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,26,8.243773|3.000000,5.3879499435424805,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,27,8.243773|3.000000,5.300366163253784,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,28,8.243773|3.000000,5.432764768600464,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
