MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,14,7.784325|5.000000|1.000000,0.026751279830932617,5.0,8.325772|5.000000|1.000000,7.784325|5.000000|1.000000,8.325772|5.000000|1.000000,5,95779602432.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,15,7.784325|5.000000|1.000000,0.026395797729492188,5.0,8.325772|5.000000|1.000000,7.784325|5.000000|1.000000,8.325772|5.000000|1.000000,5,47998906368.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,16,7.784325|5.000000|1.000000,0.026261091232299805,5.0,8.325772|5.000000|1.000000,7.784325|5.000000|1.000000,8.325772|5.000000|1.000000,5,32567791616.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,17,7.784325|5.000000|1.000000,0.026842594146728516,5.0,8.325772|5.000000|1.000000,7.784325|5.000000|1.000000,8.325772|5.000000|1.000000,5,107539308544.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,18,7.784325|5.000000|1.000000,0.02605915069580078,5.0,8.325772|5.000000|1.000000,7.784325|5.000000|1.000000,8.325772|5.000000|1.000000,5,59769675776.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,19,7.784325|5.000000|1.000000,0.0261228084564209,5.0,8.325772|5.000000|1.000000,7.784325|5.000000|1.000000,8.325772|5.000000|1.000000,5,37489373184.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,20,7.784325|5.000000|1.000000,0.0262298583984375,5.0,8.325772|5.000000|1.000000,7.784325|5.000000|1.000000,8.325772|5.000000|1.000000,5,42837401600.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,21,7.055313|7.000000|2.000000,0.026998519897460938,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,74608467968.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,22,7.055313|7.000000|2.000000,0.026426315307617188,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,103847223296.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,23,7.055313|7.000000|2.000000,0.02679586410522461,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,49155477504.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,24,7.055313|7.000000|2.000000,0.02740311622619629,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,36408070144.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,25,7.055313|7.000000|2.000000,0.02668476104736328,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,96759291904.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,26,7.055313|7.000000|2.000000,0.02613520622253418,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,79507537920.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,27,7.055313|7.000000|2.000000,0.026413679122924805,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,70025740288.000000,N/A,2,5
