MOGP_NSGAII,a83b861e-e99b-11f0-b3d7-6e001b3eef54,Boston,74,0,10.002121|3.000000,0.8089630603790283,3.0,10.323853|3.000000,10.323853|3.000000,3,243509788672.000000,N/A,5
MOGP_NSGAII,a83b861e-e99b-11f0-b3d7-6e001b3eef54,Boston,74,1,10.002121|3.000000,3.3137521743774414,3.0,10.323853|3.000000,10.323853|3.000000,3,3.168212,N/A,5
MOGP_NSGAII,a83b861e-e99b-11f0-b3d7-6e001b3eef54,Boston,74,2,10.002121|3.000000,3.1895909309387207,3.0,10.323853|3.000000,10.323853|3.000000,3,3.237949,N/A,5
MOGP_NSGAII,a83b861e-e99b-11f0-b3d7-6e001b3eef54,Boston,74,3,10.002121|3.000000,3.1791131496429443,3.0,10.323853|3.000000,8.610253|9.000000,9,2.661220,N/A,5
MOGP_NSGAII,a83b861e-e99b-11f0-b3d7-6e001b3eef54,Boston,74,4,10.002121|3.000000,3.2270429134368896,3.0,10.323853|3.000000,8.610253|9.000000,9,1.879943,N/A,5
MOGP_NSGAII,a83b861e-e99b-11f0-b3d7-6e001b3eef54,Boston,74,5,10.002121|3.000000,3.199373960494995,3.0,10.323853|3.000000,8.610253|9.000000,9,0.862034,N/A,5
MOGP_NSGAII,a83b861e-e99b-11f0-b3d7-6e001b3eef54,Boston,74,6,10.002121|3.000000,3.3031961917877197,3.0,10.323853|3.000000,8.610253|9.000000,9,0.447485,N/A,5
MOGP_NSGAII,a83b861e-e99b-11f0-b3d7-6e001b3eef54,Boston,74,7,10.002121|3.000000,3.2744481563568115,3.0,10.323853|3.000000,8.610253|9.000000,9,0.370364,N/A,5
MOGP_NSGAII,a83b861e-e99b-11f0-b3d7-6e001b3eef54,Boston,74,8,10.002121|3.000000,3.407435894012451,3.0,10.323853|3.000000,8.610253|9.000000,9,0.237955,N/A,5
MOGP_NSGAII,a83b861e-e99b-11f0-b3d7-6e001b3eef54,Boston,74,9,10.002121|3.000000,3.8065738677978516,3.0,10.323853|3.000000,8.610253|9.000000,9,0.111382,N/A,5
MOGP_NSGAII,a83b861e-e99b-11f0-b3d7-6e001b3eef54,Boston,74,10,10.002121|3.000000,4.544311046600342,3.0,10.323853|3.000000,8.610253|9.000000,9,0.100402,N/A,5
MOGP_NSGAII,a83b861e-e99b-11f0-b3d7-6e001b3eef54,Boston,74,11,10.002121|3.000000,5.244891166687012,3.0,10.323853|3.000000,8.610253|9.000000,9,0.100402,N/A,5
MOGP_NSGAII,a83b861e-e99b-11f0-b3d7-6e001b3eef54,Boston,74,12,10.002121|3.000000,5.024164915084839,3.0,10.323853|3.000000,8.610253|9.000000,9,0.112767,N/A,5
MOGP_NSGAII,a83b861e-e99b-11f0-b3d7-6e001b3eef54,Boston,74,13,10.002121|3.000000,5.1475512981414795,3.0,10.323853|3.000000,8.610253|9.000000,9,0.115016,N/A,5
