MOGP_GENERATIONAL,21293f32-f011-11f0-a447-6e001b3eef54,Boston,74,0,9.970822|3.000000,0.9386398792266846,3.0,10.394122|3.000000,N/A,N/A,0,243229868032.000000,9.283476|3.000000,5
MOGP_GENERATIONAL,21293f32-f011-11f0-a447-6e001b3eef54,Boston,74,1,9.970822|3.000000,0.026640892028808594,3.0,10.394122|3.000000,9.970822|3.000000,10.394122|3.000000,3,74463051776.000000,9.283476|3.000000,5
MOGP_GENERATIONAL,21293f32-f011-11f0-a447-6e001b3eef54,Boston,74,2,9.950683|3.000000,0.020006895065307617,3.0,10.304244|3.000000,9.950683|3.000000,10.304244|3.000000,3,26290997248.000000,9.283476|3.000000,5
MOGP_GENERATIONAL,21293f32-f011-11f0-a447-6e001b3eef54,Boston,74,3,9.950683|3.000000,0.02908802032470703,3.0,10.304244|3.000000,9.950683|3.000000,10.304244|3.000000,3,51911122944.000000,9.283476|3.000000,5
MOGP_GENERATIONAL,21293f32-f011-11f0-a447-6e001b3eef54,Boston,74,4,9.950683|3.000000,0.03489089012145996,3.0,10.304244|3.000000,9.950683|3.000000,10.304244|3.000000,3,72965619712.000000,9.283476|3.000000,5
MOGP_GENERATIONAL,21293f32-f011-11f0-a447-6e001b3eef54,Boston,74,5,9.950683|3.000000,0.01789712905883789,3.0,10.304244|3.000000,9.950683|3.000000,10.304244|3.000000,3,40121995264.000000,9.283476|3.000000,5
MOGP_GENERATIONAL,21293f32-f011-11f0-a447-6e001b3eef54,Boston,74,6,9.950683|3.000000,0.016456127166748047,3.0,10.304244|3.000000,9.950683|3.000000,10.304244|3.000000,3,81671979008.000000,9.283476|3.000000,5
MOGP_GENERATIONAL,21293f32-f011-11f0-a447-6e001b3eef54,Boston,74,7,9.950683|3.000000,0.02095198631286621,3.0,10.304244|3.000000,9.950683|3.000000,10.304244|3.000000,3,70980141056.000000,9.283476|3.000000,5
MOGP_GENERATIONAL,21293f32-f011-11f0-a447-6e001b3eef54,Boston,74,8,9.950683|3.000000,0.022520065307617188,3.0,10.304244|3.000000,9.950683|3.000000,10.304244|3.000000,3,93381591040.000000,9.283476|3.000000,5
MOGP_GENERATIONAL,21293f32-f011-11f0-a447-6e001b3eef54,Boston,74,9,9.950683|3.000000,0.01738905906677246,3.0,10.304244|3.000000,9.950683|3.000000,10.304244|3.000000,3,45316120576.000000,9.283476|3.000000,5
MOGP_GENERATIONAL,21293f32-f011-11f0-a447-6e001b3eef54,Boston,74,10,9.950683|3.000000,0.016689300537109375,3.0,10.304244|3.000000,9.950683|3.000000,10.304244|3.000000,3,69825200128.000000,9.283476|3.000000,5
MOGP_GENERATIONAL,21293f32-f011-11f0-a447-6e001b3eef54,Boston,74,11,9.950683|3.000000,0.022429227828979492,3.0,10.304244|3.000000,9.950683|3.000000,10.304244|3.000000,3,63788675072.000000,9.283476|3.000000,5
MOGP_GENERATIONAL,21293f32-f011-11f0-a447-6e001b3eef54,Boston,74,12,9.950683|3.000000,0.02180194854736328,3.0,10.304244|3.000000,9.950683|3.000000,10.304244|3.000000,3,56007397376.000000,9.283476|3.000000,5
MOGP_GENERATIONAL,21293f32-f011-11f0-a447-6e001b3eef54,Boston,74,13,9.950683|3.000000,0.016072988510131836,3.0,10.304244|3.000000,9.950683|3.000000,10.304244|3.000000,3,98370945024.000000,9.283476|3.000000,5
MOGP_GENERATIONAL,21293f32-f011-11f0-a447-6e001b3eef54,Boston,74,14,9.950683|3.000000,0.021975040435791016,3.0,10.304244|3.000000,9.950683|3.000000,10.304244|3.000000,3,60649050112.000000,9.283476|3.000000,5
MOGP_GENERATIONAL,21293f32-f011-11f0-a447-6e001b3eef54,Boston,74,15,9.950683|3.000000,0.014544963836669922,3.0,10.304244|3.000000,9.950683|3.000000,10.304244|3.000000,3,73681190912.000000,9.283476|3.000000,5
MOGP_GENERATIONAL,21293f32-f011-11f0-a447-6e001b3eef54,Boston,74,16,9.950683|3.000000,0.016434907913208008,3.0,10.304244|3.000000,9.950683|3.000000,10.304244|3.000000,3,82958032896.000000,9.283476|3.000000,5
MOGP_GENERATIONAL,21293f32-f011-11f0-a447-6e001b3eef54,Boston,74,17,9.950683|3.000000,0.022768259048461914,3.0,10.304244|3.000000,9.950683|3.000000,10.304244|3.000000,3,73852329984.000000,9.283476|3.000000,5
MOGP_GENERATIONAL,21293f32-f011-11f0-a447-6e001b3eef54,Boston,74,18,9.950683|3.000000,0.021095752716064453,3.0,10.304244|3.000000,9.950683|3.000000,10.304244|3.000000,3,94070341632.000000,9.283476|3.000000,5
