MOGP_GENERATIONAL,e48e8268-f069-11f0-b3da-6e001b3eef54,Toxicity,74,0,2222.380127|3.000000,1.0678226947784424,3.0,2548.802979|3.000000,N/A,N/A,0,159267536896.000000,N/A,5
MOGP_GENERATIONAL,e48e8268-f069-11f0-b3da-6e001b3eef54,Toxicity,74,1,2144.108643|3.000000,0.021335124969482422,3.0,2446.584229|3.000000,2144.108643|3.000000,2446.584229|3.000000,3,54202621952.000000,N/A,5
MOGP_GENERATIONAL,e48e8268-f069-11f0-b3da-6e001b3eef54,Toxicity,74,2,2124.450195|3.000000,0.027612924575805664,3.0,2359.006592|3.000000,2124.450195|3.000000,2359.006592|3.000000,3,38587162624.000000,N/A,5
MOGP_GENERATIONAL,e48e8268-f069-11f0-b3da-6e001b3eef54,Toxicity,74,3,2060.912598|3.000000,0.02330327033996582,3.0,2324.048096|3.000000,2060.912598|3.000000,2324.048096|3.000000,3,57339551744.000000,N/A,5
MOGP_GENERATIONAL,e48e8268-f069-11f0-b3da-6e001b3eef54,Toxicity,74,4,2079.976074|3.000000,0.03456616401672363,3.0,2318.981934|3.000000,2079.976074|3.000000,2318.981934|3.000000,3,73227436032.000000,N/A,5
MOGP_GENERATIONAL,e48e8268-f069-11f0-b3da-6e001b3eef54,Toxicity,74,5,2060.912598|3.000000,0.019923925399780273,3.0,2324.048096|3.000000,2060.912598|3.000000,2324.048096|3.000000,3,49937469440.000000,N/A,5
MOGP_GENERATIONAL,e48e8268-f069-11f0-b3da-6e001b3eef54,Toxicity,74,6,2168.491455|3.000000,0.02693009376525879,3.0,2475.901367|3.000000,2168.491455|3.000000,2475.901367|3.000000,3,83249823744.000000,N/A,5
MOGP_GENERATIONAL,e48e8268-f069-11f0-b3da-6e001b3eef54,Toxicity,74,7,2186.519043|3.000000,0.026124000549316406,3.0,2495.353027|3.000000,2186.519043|3.000000,2495.353027|3.000000,3,58981662720.000000,N/A,5
MOGP_GENERATIONAL,e48e8268-f069-11f0-b3da-6e001b3eef54,Toxicity,74,8,2138.436768|3.000000,0.019222021102905273,3.0,2386.419434|3.000000,2138.436768|3.000000,2386.419434|3.000000,3,49333170176.000000,N/A,5
MOGP_GENERATIONAL,e48e8268-f069-11f0-b3da-6e001b3eef54,Toxicity,74,9,2122.388916|3.000000,0.017847061157226562,3.0,2389.831787|3.000000,2122.388916|3.000000,2389.831787|3.000000,3,30978.982422,N/A,5
MOGP_GENERATIONAL,e48e8268-f069-11f0-b3da-6e001b3eef54,Toxicity,74,10,2172.660156|3.000000,0.020868778228759766,3.0,2424.081543|3.000000,2172.660156|3.000000,2424.081543|3.000000,3,81294213120.000000,N/A,5
MOGP_GENERATIONAL,e48e8268-f069-11f0-b3da-6e001b3eef54,Toxicity,74,11,2163.678955|3.000000,0.020057201385498047,3.0,2471.394531|3.000000,2067.493896|5.000000,2397.026855|5.000000,5,7755579.000000,N/A,5
