MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,13,4.193701|11.000000|4.000000,0.06673955917358398,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,95946457088.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,14,4.193701|11.000000|4.000000,0.06670427322387695,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,99498762240.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,15,4.193701|11.000000|4.000000,0.06792998313903809,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,79696035840.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,16,4.193701|11.000000|4.000000,0.04995369911193848,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,70533660672.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,17,4.193701|11.000000|4.000000,0.0666513442993164,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,111101992960.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,18,4.193701|11.000000|4.000000,0.06662464141845703,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,79799762944.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,19,4.193701|11.000000|4.000000,0.04900312423706055,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,85469413376.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,20,4.193701|11.000000|4.000000,0.05919361114501953,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,69541543936.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,21,4.193701|11.000000|4.000000,0.06596851348876953,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,137714827264.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,22,4.193701|11.000000|4.000000,0.06539750099182129,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,86592053248.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,23,4.193701|11.000000|4.000000,0.05111551284790039,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,100242808832.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,24,4.193701|11.000000|4.000000,0.06474471092224121,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,63731716096.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,25,4.193701|11.000000|4.000000,0.0512082576751709,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,96404922368.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,26,4.193701|11.000000|4.000000,0.06380701065063477,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,96722706432.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,27,4.193701|11.000000|4.000000,0.05118846893310547,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,73178169344.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,28,4.193701|11.000000|4.000000,0.06335568428039551,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,75466342400.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,29,4.193701|11.000000|4.000000,0.06445908546447754,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,137567682560.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,30,4.193701|11.000000|4.000000,0.06786584854125977,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,120983076864.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,31,4.193701|11.000000|4.000000,0.06659698486328125,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,111101984768.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,32,4.193701|11.000000|4.000000,0.06628012657165527,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,78238334976.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,33,4.193701|11.000000|4.000000,0.049460649490356445,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,82697363456.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,34,4.193701|11.000000|4.000000,0.06520247459411621,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,129013170176.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,35,4.193701|11.000000|4.000000,0.07584023475646973,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,101285011456.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,36,4.193701|11.000000|4.000000,0.06286001205444336,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,118382149632.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,37,4.193701|11.000000|4.000000,0.05111980438232422,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,62313119744.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,38,4.193701|11.000000|4.000000,0.0673060417175293,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,99498631168.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,39,4.193701|11.000000|4.000000,0.06665802001953125,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,93548666880.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,40,4.193701|11.000000|4.000000,0.06567025184631348,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,141504495616.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,41,4.193701|11.000000|4.000000,0.06405758857727051,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,139993661440.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,42,4.193701|11.000000|4.000000,0.06538605690002441,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,94423048192.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,43,4.193701|11.000000|4.000000,0.06973981857299805,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,101406498816.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,44,4.193701|11.000000|4.000000,0.06551742553710938,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,58675933184.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,45,4.193701|11.000000|4.000000,0.06640911102294922,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,130979110912.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,46,4.193701|11.000000|4.000000,0.06614947319030762,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,120416886784.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,47,4.193701|11.000000|4.000000,0.06567716598510742,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,97769963520.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,48,4.193701|11.000000|4.000000,0.0661005973815918,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,98801565696.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,49,4.193701|11.000000|4.000000,0.06662631034851074,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,119661830144.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,50,4.193701|11.000000|4.000000,0.06635046005249023,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,83524722688.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,51,4.193701|11.000000|4.000000,0.06391620635986328,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,104337293312.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,52,4.193701|11.000000|4.000000,0.06678533554077148,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,136157184000.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,53,4.193701|11.000000|4.000000,0.07468295097351074,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,130312527872.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,54,4.193701|11.000000|4.000000,0.06469583511352539,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,57444651008.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,55,4.193701|11.000000|4.000000,0.06631159782409668,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,92944990208.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,56,4.193701|11.000000|4.000000,0.06664347648620605,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,66621677568.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,57,4.193701|11.000000|4.000000,0.058962345123291016,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,100027637760.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,58,4.193701|11.000000|4.000000,0.057134389877319336,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,121551265792.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,59,4.193701|11.000000|4.000000,0.06421208381652832,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,82348924928.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,60,4.193701|11.000000|4.000000,0.06338238716125488,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,125193478144.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,61,4.193701|11.000000|4.000000,0.049790382385253906,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,79799271424.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,62,4.193701|11.000000|4.000000,0.06493616104125977,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,23311689728.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,63,4.193701|11.000000|4.000000,0.05117940902709961,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,99518382080.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,64,4.193701|11.000000|4.000000,0.051134347915649414,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,82875940864.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,65,4.193701|11.000000|4.000000,0.0512089729309082,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,85469462528.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,66,4.193701|11.000000|4.000000,0.06711125373840332,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,79799263232.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,67,4.193701|11.000000|4.000000,0.06542682647705078,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,94095556608.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,68,4.193701|11.000000|4.000000,0.0667424201965332,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,100490387456.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,69,4.193701|11.000000|4.000000,0.07179689407348633,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,96009805824.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,70,4.193701|11.000000|4.000000,0.06668972969055176,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,128251887616.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,71,4.193701|11.000000|4.000000,0.06665372848510742,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,116596744192.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,72,4.193701|11.000000|4.000000,0.06685256958007812,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,73787695104.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,73,4.193701|11.000000|4.000000,0.06657958030700684,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,74330038272.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,74,4.193701|11.000000|4.000000,0.14828062057495117,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,101727002624.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,75,4.193701|11.000000|4.000000,0.049492597579956055,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,62418628608.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,76,4.193701|11.000000|4.000000,0.06658339500427246,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,66023612416.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,77,4.193701|11.000000|4.000000,0.0497589111328125,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,87308697600.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,78,4.193701|11.000000|4.000000,0.06462883949279785,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,117145190400.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,79,4.193701|11.000000|4.000000,0.06539130210876465,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,99499253760.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,80,4.193701|11.000000|4.000000,0.06667017936706543,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,93415849984.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,81,4.193701|11.000000|4.000000,0.0667116641998291,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,128142008320.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,82,4.193701|11.000000|4.000000,0.08313775062561035,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,111795625984.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,83,4.193701|11.000000|4.000000,0.06489968299865723,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,115901382656.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,84,4.193701|11.000000|4.000000,0.06818509101867676,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,82640396288.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,85,4.193701|11.000000|4.000000,0.06648731231689453,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,78575706112.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,86,4.193701|11.000000|4.000000,0.06679701805114746,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,118190661632.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,87,4.193701|11.000000|4.000000,0.06674933433532715,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,94779465728.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,88,4.193701|11.000000|4.000000,0.05001568794250488,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,70533652480.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,89,4.193701|11.000000|4.000000,0.06611514091491699,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,68848533504.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,90,4.193701|11.000000|4.000000,0.05008053779602051,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,70533275648.000000,N/A,2,5
MOGP_GENERATIONAL,ecbe1d07-1331-11f1-bf5d-b751108eed3b,Cooling,74,91,4.193701|11.000000|4.000000,0.04892110824584961,11.0,4.772820|11.000000|4.000000,4.193701|11.000000|4.000000,4.772820|11.000000|4.000000,11,97480867840.000000,N/A,2,5
