MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,60,4.507786|3.000000,6.701130151748657,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,61,4.507786|3.000000,6.883116006851196,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,62,4.507786|3.000000,7.066213130950928,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,63,4.507786|3.000000,6.985000133514404,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,64,4.507786|3.000000,6.858337163925171,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,65,4.507786|3.000000,6.865080118179321,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,66,4.507786|3.000000,6.818433046340942,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,67,4.507786|3.000000,7.682673931121826,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,68,4.507786|3.000000,8.868629932403564,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,69,4.507786|3.000000,9.665650844573975,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,70,4.507786|3.000000,9.039699792861938,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,71,4.507786|3.000000,7.009684085845947,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,72,4.507786|3.000000,7.69950795173645,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,73,4.507786|3.000000,7.572760105133057,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,74,4.507786|3.000000,7.818224906921387,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,75,4.507786|3.000000,8.550855159759521,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,76,4.507786|3.000000,9.487421035766602,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,77,4.507786|3.000000,9.458108186721802,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,78,4.507786|3.000000,9.222357988357544,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,79,4.507786|3.000000,9.55936598777771,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,80,4.507786|3.000000,9.552068710327148,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,81,4.507786|3.000000,9.566277742385864,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,82,4.507786|3.000000,9.69125509262085,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,83,4.507786|3.000000,9.298424005508423,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,84,4.507786|3.000000,9.445770978927612,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,85,4.507786|3.000000,9.603468179702759,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,86,4.507786|3.000000,9.695816993713379,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,87,4.507786|3.000000,9.490241050720215,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
