MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,26,4.507786|3.000000,0.02005147933959961,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,100781006848.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,27,4.507786|3.000000,0.018446683883666992,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,49937469440.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,28,4.507786|3.000000,0.0193331241607666,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,49939501056.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,29,4.507786|3.000000,0.018807649612426758,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,96437673984.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,30,4.507786|3.000000,0.019423723220825195,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,65740926976.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,31,4.507786|3.000000,0.018833160400390625,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,86277185536.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,32,4.507786|3.000000,0.018941164016723633,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,80335716352.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,33,4.507786|3.000000,0.019813060760498047,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,71067541504.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,34,4.507786|3.000000,0.019858121871948242,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,63098519552.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,35,4.507786|3.000000,0.019051551818847656,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,37205553152.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,36,4.507786|3.000000,0.019924163818359375,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,72600625152.000000,N/A,1,5
