MOGP_GENERATIONAL,4d412ff6-f149-11f0-894a-6e001b3eef54,Boston,74,0,9.796895|3.000000,0.833078145980835,3.0,10.772421|3.000000,N/A,N/A,0,243780485120.000000,N/A,5
MOGP_GENERATIONAL,4d412ff6-f149-11f0-894a-6e001b3eef54,Boston,74,1,10.360096|3.000000,0.018795013427734375,3.0,11.531011|3.000000,10.360096|3.000000,11.531011|3.000000,3,69967470592.000000,N/A,5
MOGP_GENERATIONAL,4d412ff6-f149-11f0-894a-6e001b3eef54,Boston,74,2,9.711526|3.000000,0.019520044326782227,3.0,10.822612|3.000000,9.711526|3.000000,10.822612|3.000000,3,97833148416.000000,N/A,5
MOGP_GENERATIONAL,4d412ff6-f149-11f0-894a-6e001b3eef54,Boston,74,3,9.796895|3.000000,0.01742100715637207,3.0,10.772421|3.000000,9.796895|3.000000,10.772421|3.000000,3,88262713344.000000,N/A,5
MOGP_GENERATIONAL,4d412ff6-f149-11f0-894a-6e001b3eef54,Boston,74,4,9.796895|3.000000,0.018009185791015625,3.0,10.772421|3.000000,9.015844|5.000000,9.961915|5.000000,5,79041183744.000000,N/A,5
MOGP_GENERATIONAL,4d412ff6-f149-11f0-894a-6e001b3eef54,Boston,74,5,9.796895|3.000000,0.021177053451538086,3.0,10.772421|3.000000,9.796895|3.000000,10.772421|3.000000,3,81458683904.000000,N/A,5
MOGP_GENERATIONAL,4d412ff6-f149-11f0-894a-6e001b3eef54,Boston,74,6,9.230412|3.000000,0.01791095733642578,3.0,9.474537|3.000000,9.230412|3.000000,9.474537|3.000000,3,41981554688.000000,N/A,5
MOGP_GENERATIONAL,4d412ff6-f149-11f0-894a-6e001b3eef54,Boston,74,7,8.113663|3.000000,0.015484809875488281,3.0,7.558079|3.000000,8.113663|3.000000,7.558079|3.000000,3,81641611264.000000,N/A,5
MOGP_GENERATIONAL,4d412ff6-f149-11f0-894a-6e001b3eef54,Boston,74,8,9.796895|3.000000,0.021130084991455078,3.0,10.772421|3.000000,9.796895|3.000000,10.772421|3.000000,3,56470175744.000000,N/A,5
MOGP_GENERATIONAL,4d412ff6-f149-11f0-894a-6e001b3eef54,Boston,74,9,9.908077|3.000000,0.01776909828186035,3.0,10.990594|3.000000,9.908077|3.000000,10.990594|3.000000,3,77645307904.000000,N/A,5
MOGP_GENERATIONAL,4d412ff6-f149-11f0-894a-6e001b3eef54,Boston,74,10,9.796895|3.000000,0.015440702438354492,3.0,10.772421|3.000000,9.796895|3.000000,10.772421|3.000000,3,53830811648.000000,N/A,5
MOGP_GENERATIONAL,4d412ff6-f149-11f0-894a-6e001b3eef54,Boston,74,11,9.796895|3.000000,0.015381097793579102,3.0,10.772421|3.000000,9.796895|3.000000,10.772421|3.000000,3,84388454400.000000,N/A,5
MOGP_GENERATIONAL,4d412ff6-f149-11f0-894a-6e001b3eef54,Boston,74,12,9.908077|3.000000,0.01571512222290039,3.0,10.990594|3.000000,9.908077|3.000000,10.990594|3.000000,3,54753583104.000000,N/A,5
MOGP_GENERATIONAL,4d412ff6-f149-11f0-894a-6e001b3eef54,Boston,74,13,9.908077|3.000000,0.0171048641204834,3.0,10.990594|3.000000,9.861923|5.000000,10.862468|5.000000,5,141394952192.000000,N/A,5
MOGP_GENERATIONAL,4d412ff6-f149-11f0-894a-6e001b3eef54,Boston,74,14,9.908077|3.000000,0.016525745391845703,3.0,10.990594|3.000000,9.908077|3.000000,10.990594|3.000000,3,51131412480.000000,N/A,5
MOGP_GENERATIONAL,4d412ff6-f149-11f0-894a-6e001b3eef54,Boston,74,15,9.908077|3.000000,0.01713705062866211,3.0,10.990594|3.000000,9.908077|3.000000,10.990594|3.000000,3,75954446336.000000,N/A,5
MOGP_GENERATIONAL,4d412ff6-f149-11f0-894a-6e001b3eef54,Boston,74,16,9.908077|3.000000,0.01577281951904297,3.0,10.990594|3.000000,9.908077|3.000000,10.990594|3.000000,3,63622070272.000000,N/A,5
MOGP_GENERATIONAL,4d412ff6-f149-11f0-894a-6e001b3eef54,Boston,74,17,9.908077|3.000000,0.016055822372436523,3.0,10.990594|3.000000,9.908077|3.000000,10.990594|3.000000,3,97116102656.000000,N/A,5
MOGP_GENERATIONAL,4d412ff6-f149-11f0-894a-6e001b3eef54,Boston,74,18,9.908077|3.000000,0.01574397087097168,3.0,10.990594|3.000000,9.908077|3.000000,10.990594|3.000000,3,90962690048.000000,N/A,5
MOGP_GENERATIONAL,4d412ff6-f149-11f0-894a-6e001b3eef54,Boston,74,19,9.908077|3.000000,0.015794992446899414,3.0,10.990594|3.000000,9.252899|7.000000,10.249966|7.000000,7,33308653568.000000,N/A,5
MOGP_GENERATIONAL,4d412ff6-f149-11f0-894a-6e001b3eef54,Boston,74,20,9.908077|3.000000,0.01583385467529297,3.0,10.990594|3.000000,9.908077|3.000000,10.990594|3.000000,3,85494087680.000000,N/A,5
MOGP_GENERATIONAL,4d412ff6-f149-11f0-894a-6e001b3eef54,Boston,74,21,9.908077|3.000000,0.016566991806030273,3.0,10.990594|3.000000,9.908077|3.000000,10.990594|3.000000,3,72527167488.000000,N/A,5
