MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,19,4.518628|3.000000,0.018884897232055664,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,93736558592.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,20,4.518628|3.000000,0.019022703170776367,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,49945055232.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,21,4.518628|3.000000,0.019733428955078125,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,103040409600.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,22,4.518628|3.000000,0.019123554229736328,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,88882831360.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,23,4.518628|3.000000,0.01873493194580078,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,98728796160.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,24,4.518628|3.000000,0.019549846649169922,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,55204065280.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,25,4.518628|3.000000,0.01999831199645996,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,113918787584.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,26,4.518628|3.000000,0.020633697509765625,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,96423272448.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,27,4.518628|3.000000,0.01834559440612793,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,95578300416.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,28,4.518628|3.000000,0.019533872604370117,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,106304462848.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,29,4.518628|3.000000,0.01919841766357422,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,70537273344.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,30,4.518628|3.000000,0.01887679100036621,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,86276849664.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,31,4.518628|3.000000,0.018963336944580078,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,49937309696.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,32,4.518628|3.000000,0.019237279891967773,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,49937170432.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,33,4.518628|3.000000,0.019400835037231445,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,102573350912.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,34,4.518628|3.000000,0.019614458084106445,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,131143499776.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,35,4.518628|3.000000,0.019673585891723633,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,85417803776.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,36,4.518628|3.000000,0.019905567169189453,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,88939823104.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,37,4.518628|3.000000,0.020075082778930664,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,110417813504.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,38,4.518628|3.000000,0.01914191246032715,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,116357586944.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,39,4.518628|3.000000,0.018343687057495117,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,81740652544.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,40,4.518628|3.000000,0.019510507583618164,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,109966721024.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,41,4.518628|3.000000,0.01873779296875,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,48720928768.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,42,4.518628|3.000000,0.01885199546813965,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,133341749248.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,43,4.518628|3.000000,0.056559085845947266,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,96510967808.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,44,4.518628|3.000000,0.018917322158813477,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,105268396032.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,45,4.518628|3.000000,0.019110679626464844,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,125336018944.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,46,4.518628|3.000000,0.019125938415527344,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,70533685248.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,47,4.518628|3.000000,0.019475936889648438,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,49937457152.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,48,4.518628|3.000000,0.019948482513427734,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,84432265216.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,49,4.518628|3.000000,0.019255876541137695,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,124963823616.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,50,4.518628|3.000000,0.01972675323486328,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,111147065344.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,51,4.518628|3.000000,0.018567800521850586,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,90783342592.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,52,4.518628|3.000000,0.0193331241607666,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,110599929856.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,53,4.518628|3.000000,0.019885540008544922,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,94834573312.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,54,4.518628|3.000000,0.018591642379760742,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,75971821568.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,55,4.518628|3.000000,0.019556045532226562,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,81896120320.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,56,4.518628|3.000000,0.018854379653930664,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,95063531520.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,57,4.518628|3.000000,0.020201683044433594,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,100405075968.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,58,4.518628|3.000000,0.018990278244018555,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,90784497664.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,59,4.518628|3.000000,0.018954038619995117,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,70573391872.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,60,4.518628|3.000000,0.018780946731567383,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,88542928896.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,61,4.518628|3.000000,0.018895864486694336,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,79535218688.000000,N/A,1,5
