MOGP_NSGAII,8a0f2366-f040-11f0-b9e8-6e001b3eef54,Boston,74,0,9.684484|3.000000,0.8168301582336426,3.0,11.006601|3.000000,N/A,N/A,0,243113656320.000000,N/A,5
MOGP_NSGAII,8a0f2366-f040-11f0-b9e8-6e001b3eef54,Boston,74,1,9.684484|3.000000,3.1936988830566406,3.0,11.006601|3.000000,9.684484|3.000000,11.006601|3.000000,3,3.491267,N/A,5
MOGP_NSGAII,8a0f2366-f040-11f0-b9e8-6e001b3eef54,Boston,74,2,9.684484|3.000000,3.044482946395874,3.0,11.006601|3.000000,7.951586|5.000000,9.461993|5.000000,5,3.620887,N/A,5
MOGP_NSGAII,8a0f2366-f040-11f0-b9e8-6e001b3eef54,Boston,74,3,9.684484|3.000000,3.0552000999450684,3.0,11.006601|3.000000,7.951586|5.000000,9.461993|5.000000,5,2.820004,N/A,5
MOGP_NSGAII,8a0f2366-f040-11f0-b9e8-6e001b3eef54,Boston,74,4,9.684484|3.000000,3.0098769664764404,3.0,11.006601|3.000000,7.951586|5.000000,9.461993|5.000000,5,2.234137,N/A,5
MOGP_NSGAII,8a0f2366-f040-11f0-b9e8-6e001b3eef54,Boston,74,5,9.684484|3.000000,3.0198421478271484,3.0,11.006601|3.000000,7.951586|5.000000,9.461993|5.000000,5,1.334219,N/A,5
MOGP_NSGAII,8a0f2366-f040-11f0-b9e8-6e001b3eef54,Boston,74,6,9.684484|3.000000,3.0644378662109375,3.0,11.006601|3.000000,7.951586|5.000000,9.461993|5.000000,5,0.779355,N/A,5
MOGP_NSGAII,8a0f2366-f040-11f0-b9e8-6e001b3eef54,Boston,74,7,9.684484|3.000000,3.0757157802581787,3.0,11.006601|3.000000,7.951586|5.000000,9.461993|5.000000,5,0.532405,N/A,5
MOGP_NSGAII,8a0f2366-f040-11f0-b9e8-6e001b3eef54,Boston,74,8,9.684484|3.000000,3.2504007816314697,3.0,11.006601|3.000000,7.608403|5.000000,9.424306|5.000000,5,0.403609,N/A,5
MOGP_NSGAII,8a0f2366-f040-11f0-b9e8-6e001b3eef54,Boston,74,9,7.951586|3.000000,3.53300404548645,3.0,9.461993|3.000000,7.608403|5.000000,9.424306|5.000000,5,0.281187,N/A,5
MOGP_NSGAII,8a0f2366-f040-11f0-b9e8-6e001b3eef54,Boston,74,10,7.951586|3.000000,3.905195951461792,3.0,9.461993|3.000000,7.608403|5.000000,9.424306|5.000000,5,0.323698,N/A,5
MOGP_NSGAII,8a0f2366-f040-11f0-b9e8-6e001b3eef54,Boston,74,11,7.951586|3.000000,4.208341121673584,3.0,9.461993|3.000000,7.608403|5.000000,9.424306|5.000000,5,0.256876,N/A,5
