MOGP_GENERATIONAL,7237e70a-f243-11f0-b54a-6e001b3eef54,Boston,74,0,9.708685|3.000000,1.175752878189087,3.0,10.956835|3.000000,N/A,N/A,0,244178026496.000000,9.701890|3.000000,5
MOGP_GENERATIONAL,7237e70a-f243-11f0-b54a-6e001b3eef54,Boston,74,1,9.708685|3.000000,0.02997589111328125,3.0,10.956835|3.000000,9.708685|3.000000,10.956835|3.000000,3,92207808512.000000,9.701890|3.000000,5
MOGP_GENERATIONAL,7237e70a-f243-11f0-b54a-6e001b3eef54,Boston,74,2,9.708685|3.000000,0.02704000473022461,3.0,10.956835|3.000000,8.660140|5.000000,10.773922|5.000000,5,113930960896.000000,9.701890|3.000000,5
MOGP_GENERATIONAL,7237e70a-f243-11f0-b54a-6e001b3eef54,Boston,74,3,9.708067|3.000000,0.030135154724121094,3.0,10.829839|3.000000,9.708067|3.000000,10.829839|3.000000,3,56028516352.000000,9.701890|3.000000,5
MOGP_GENERATIONAL,7237e70a-f243-11f0-b54a-6e001b3eef54,Boston,74,4,9.317049|3.000000,0.04439377784729004,3.0,9.955996|3.000000,9.317049|3.000000,9.955996|3.000000,3,83452608512.000000,9.701890|3.000000,5
MOGP_GENERATIONAL,7237e70a-f243-11f0-b54a-6e001b3eef54,Boston,74,5,9.317049|3.000000,0.024495840072631836,3.0,9.955996|3.000000,9.317049|3.000000,9.955996|3.000000,3,95029821440.000000,9.701890|3.000000,5
MOGP_GENERATIONAL,7237e70a-f243-11f0-b54a-6e001b3eef54,Boston,74,6,9.317049|3.000000,0.023590087890625,3.0,9.955996|3.000000,9.317049|3.000000,9.955996|3.000000,3,37030727680.000000,9.701890|3.000000,5
MOGP_GENERATIONAL,7237e70a-f243-11f0-b54a-6e001b3eef54,Boston,74,7,9.317049|3.000000,0.04328179359436035,3.0,9.955996|3.000000,9.317049|3.000000,9.955996|3.000000,3,96248963072.000000,9.701890|3.000000,5
MOGP_GENERATIONAL,7237e70a-f243-11f0-b54a-6e001b3eef54,Boston,74,8,9.317049|3.000000,0.02962517738342285,3.0,9.955996|3.000000,9.317049|3.000000,9.955996|3.000000,3,109411557376.000000,9.701890|3.000000,5
MOGP_GENERATIONAL,7237e70a-f243-11f0-b54a-6e001b3eef54,Boston,74,9,9.317049|3.000000,0.04032707214355469,3.0,9.955996|3.000000,9.229838|5.000000,9.914437|5.000000,5,7600.400879,9.701890|3.000000,5
MOGP_GENERATIONAL,7237e70a-f243-11f0-b54a-6e001b3eef54,Boston,74,10,9.317049|3.000000,0.032944679260253906,3.0,9.955996|3.000000,9.317049|3.000000,9.955996|3.000000,3,53991399424.000000,9.701890|3.000000,5
MOGP_GENERATIONAL,7237e70a-f243-11f0-b54a-6e001b3eef54,Boston,74,11,9.317049|3.000000,0.031538963317871094,3.0,9.955996|3.000000,9.317049|3.000000,9.955996|3.000000,3,56535638016.000000,9.701890|3.000000,5
