MOGP_GENERATIONAL,86232e76-140a-11f1-9378-303ea725c124,Toxicity,74,0,2320.007568|15.000000|6.000000,0.0766453742980957,15.0,1769.922852|15.000000|6.000000,2320.007568|15.000000|6.000000,1769.922852|15.000000|6.000000,15,158528045056.000000,N/A,3,5
MOGP_GENERATIONAL,86232e76-140a-11f1-9378-303ea725c124,Toxicity,74,1,2320.007568|15.000000|6.000000,0.029815196990966797,15.0,1769.922852|15.000000|6.000000,2320.007568|15.000000|6.000000,1769.922852|15.000000|6.000000,15,105263693824.000000,N/A,2,5
MOGP_GENERATIONAL,86232e76-140a-11f1-9378-303ea725c124,Toxicity,74,2,2295.048584|3.000000|1.000000,0.02933955192565918,3.0,1815.533936|3.000000|1.000000,2295.048584|3.000000|1.000000,1815.533936|3.000000|1.000000,3,12235005952.000000,N/A,2,5
MOGP_GENERATIONAL,86232e76-140a-11f1-9378-303ea725c124,Toxicity,74,3,2295.048584|3.000000|1.000000,0.028655052185058594,3.0,1815.533936|3.000000|1.000000,2295.048584|3.000000|1.000000,1815.533936|3.000000|1.000000,3,69944745984.000000,N/A,2,5
MOGP_GENERATIONAL,86232e76-140a-11f1-9378-303ea725c124,Toxicity,74,4,2234.597412|3.000000|0.000000,0.029359102249145508,3.0,1834.139282|3.000000|0.000000,2234.597412|3.000000|0.000000,1834.139282|3.000000|0.000000,3,80677314560.000000,N/A,3,5
MOGP_GENERATIONAL,86232e76-140a-11f1-9378-303ea725c124,Toxicity,74,5,2234.597412|3.000000|0.000000,0.029110193252563477,3.0,1834.139282|3.000000|0.000000,2234.597412|3.000000|0.000000,1834.139282|3.000000|0.000000,3,61109899264.000000,N/A,2,5
MOGP_GENERATIONAL,86232e76-140a-11f1-9378-303ea725c124,Toxicity,74,6,2200.514648|3.000000|0.000000,0.029045820236206055,3.0,2017.945068|3.000000|0.000000,2200.514648|3.000000|0.000000,2017.945068|3.000000|0.000000,3,77486735360.000000,N/A,2,5
MOGP_GENERATIONAL,86232e76-140a-11f1-9378-303ea725c124,Toxicity,74,7,2200.514648|3.000000|0.000000,0.02938985824584961,3.0,2017.945068|3.000000|0.000000,2200.514648|3.000000|0.000000,2017.945068|3.000000|0.000000,3,50815238144.000000,N/A,2,5
MOGP_GENERATIONAL,86232e76-140a-11f1-9378-303ea725c124,Toxicity,74,8,2200.514648|3.000000|0.000000,0.02773284912109375,3.0,2017.945068|3.000000|0.000000,2200.514648|3.000000|0.000000,2017.945068|3.000000|0.000000,3,69662662656.000000,N/A,1,5
MOGP_GENERATIONAL,86232e76-140a-11f1-9378-303ea725c124,Toxicity,74,9,2200.514648|3.000000|0.000000,0.029033422470092773,3.0,2017.945068|3.000000|0.000000,2200.514648|3.000000|0.000000,2017.945068|3.000000|0.000000,3,5624034816.000000,N/A,1,5
MOGP_GENERATIONAL,86232e76-140a-11f1-9378-303ea725c124,Toxicity,74,10,2200.514648|3.000000|0.000000,0.027903318405151367,3.0,2017.945068|3.000000|0.000000,2200.514648|3.000000|0.000000,2017.945068|3.000000|0.000000,3,61873745920.000000,N/A,1,5
MOGP_GENERATIONAL,86232e76-140a-11f1-9378-303ea725c124,Toxicity,74,11,2200.514648|3.000000|0.000000,0.030051469802856445,3.0,2017.945068|3.000000|0.000000,2200.514648|3.000000|0.000000,2017.945068|3.000000|0.000000,3,68664274944.000000,N/A,1,5
MOGP_GENERATIONAL,86232e76-140a-11f1-9378-303ea725c124,Toxicity,74,12,2200.514648|3.000000|0.000000,0.029514551162719727,3.0,2017.945068|3.000000|0.000000,2200.514648|3.000000|0.000000,2017.945068|3.000000|0.000000,3,99019128832.000000,N/A,1,5
MOGP_GENERATIONAL,86232e76-140a-11f1-9378-303ea725c124,Toxicity,74,13,2200.514648|3.000000|0.000000,0.02756023406982422,3.0,2017.945068|3.000000|0.000000,2200.514648|3.000000|0.000000,2017.945068|3.000000|0.000000,3,22997225472.000000,N/A,1,5
MOGP_GENERATIONAL,86232e76-140a-11f1-9378-303ea725c124,Toxicity,74,14,2200.514648|3.000000|0.000000,0.028018474578857422,3.0,2017.945068|3.000000|0.000000,2200.514648|3.000000|0.000000,2017.945068|3.000000|0.000000,3,49415151616.000000,N/A,1,5
MOGP_GENERATIONAL,86232e76-140a-11f1-9378-303ea725c124,Toxicity,74,15,2200.514648|3.000000|0.000000,0.029668331146240234,3.0,2017.945068|3.000000|0.000000,2200.514648|3.000000|0.000000,2017.945068|3.000000|0.000000,3,50801520640.000000,N/A,1,5
MOGP_GENERATIONAL,86232e76-140a-11f1-9378-303ea725c124,Toxicity,74,16,2200.514648|3.000000|0.000000,0.027887344360351562,3.0,2017.945068|3.000000|0.000000,2200.514648|3.000000|0.000000,2017.945068|3.000000|0.000000,3,69772279808.000000,N/A,1,5
MOGP_GENERATIONAL,86232e76-140a-11f1-9378-303ea725c124,Toxicity,74,17,2200.514648|3.000000|0.000000,0.029649734497070312,3.0,2017.945068|3.000000|0.000000,2200.514648|3.000000|0.000000,2017.945068|3.000000|0.000000,3,78534393856.000000,N/A,1,5
